page_type,url,options.query,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,104,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,68,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,69,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,118,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,70,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,58,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,59,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,85,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,35,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,93,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,118,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,65,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,23,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,64,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,54,Yes,IN
GoogleSearchResult,https://www.google.com/,"Tiger21 now Test Keyword",cas.com.bd,88,Yes,IN
GoogleSearchResult,https://www.google.com/,"Kerrisdale holdings Test Keyword",cas.com.bd,27,Yes,IN
GoogleSearchResult,https://www.google.com/,"Tiger21 now Test Keyword",cas.com.bd,94,Yes,IN
GoogleSearchResult,https://www.google.com/,"Kerrisdale holdings Test Keyword",cas.com.bd,56,Yes,IN
GoogleSearchResult,https://www.google.com/,"Kerrisdale holdings Test Keyword",cas.com.bd,81,Yes,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,33,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,56,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,19,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,22,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,116,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,115,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,107,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,68,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,107,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,58,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,110,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,79,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,84,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,91,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,69,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,55,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,29,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,24,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,72,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,38,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,35,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,44,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,23,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,17,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,41,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword before kerrisdale",cas.com.bd,16,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger 21",cas.com.bd,48,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger 21",cas.com.bd,116,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword before kerrisdale",cas.com.bd,76,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword before kerrisdale",cas.com.bd,89,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger 21",cas.com.bd,44,No,IN
