page_type,url,options.query,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,111,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,100,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,35,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,116,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,50,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,13,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,14,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,71,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,103,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,29,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,58,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,26,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,14,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,34,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,120,Yes,IN
GoogleSearchResult,https://www.google.com/,"Kerrisdale holdings Test Keyword",cas.com.bd,12,Yes,IN
GoogleSearchResult,https://www.google.com/,"Kerrisdale holdings Test Keyword",cas.com.bd,66,Yes,IN
GoogleSearchResult,https://www.google.com/,"Kerrisdale holdings Test Keyword",cas.com.bd,108,Yes,IN
GoogleSearchResult,https://www.google.com/,"Tiger21 now Test Keyword",cas.com.bd,86,Yes,IN
GoogleSearchResult,https://www.google.com/,"Kerrisdale holdings Test Keyword",cas.com.bd,10,Yes,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,42,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,91,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,16,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,12,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,101,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,21,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,52,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,117,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,51,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,110,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,12,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,27,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,82,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,31,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,52,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,117,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,13,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,85,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,108,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,36,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,112,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,83,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,21,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,57,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,51,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger 21",cas.com.bd,54,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger 21",cas.com.bd,63,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger 21",cas.com.bd,36,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger 21",cas.com.bd,119,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger 21",cas.com.bd,61,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword before kerrisdale",cas.com.bd,17,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword before kerrisdale",cas.com.bd,15,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger 21",cas.com.bd,111,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger 21",cas.com.bd,52,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger 21",cas.com.bd,96,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword before kerrisdale",cas.com.bd,53,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword before kerrisdale",cas.com.bd,90,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword before kerrisdale",cas.com.bd,115,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger 21",cas.com.bd,114,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger 21",cas.com.bd,98,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword kerrisdale holdings",cas.com.bd,41,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword kerrisdale holdings",cas.com.bd,46,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword kerrisdale holdings",cas.com.bd,92,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword kerrisdale holdings",cas.com.bd,57,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword kerrisdale holdings",cas.com.bd,26,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger21 now",cas.com.bd,51,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword kerrisdale holdings",cas.com.bd,97,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger21 now",cas.com.bd,88,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword kerrisdale holdings",cas.com.bd,17,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword kerrisdale holdings",cas.com.bd,44,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger21 now",cas.com.bd,23,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword kerrisdale holdings",cas.com.bd,113,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword kerrisdale holdings",cas.com.bd,102,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger21 now",cas.com.bd,109,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger21 now",cas.com.bd,57,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,101,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,35,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,21,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,16,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,115,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,90,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,38,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,62,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,50,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,40,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,39,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,106,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,20,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,106,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,94,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,15,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,32,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,28,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,57,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,95,No,IN
