page_type,url,options.query,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,119,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,69,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,65,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,114,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,61,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,58,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,59,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,81,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,97,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,26,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,58,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,109,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,99,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,42,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,92,Yes,IN
GoogleSearchResult,https://www.google.com/,"Kerrisdale holdings Test Keyword",cas.com.bd,40,Yes,IN
GoogleSearchResult,https://www.google.com/,"Kerrisdale holdings Test Keyword",cas.com.bd,38,Yes,IN
GoogleSearchResult,https://www.google.com/,"Kerrisdale holdings Test Keyword",cas.com.bd,93,Yes,IN
GoogleSearchResult,https://www.google.com/,"Kerrisdale holdings Test Keyword",cas.com.bd,86,Yes,IN
GoogleSearchResult,https://www.google.com/,"Kerrisdale holdings Test Keyword",cas.com.bd,59,Yes,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,71,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,45,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,24,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,77,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,16,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,51,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,55,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,68,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,46,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,25,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,101,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,20,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,80,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,42,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,87,No,IN
