page_type,url,options.query,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",Codeyiizen.com,99,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",Codeyiizen.com,37,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",Codeyiizen.com,47,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,33,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",Codeyiizen.com,31,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",Codeyiizen.com,66,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",Codeyiizen.com,37,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,96,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",Codeyiizen.com,87,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,15,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",Codeyiizen.com,32,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",Codeyiizen.com,34,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,90,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,21,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,27,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",Codeyiizen.com,75,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,15,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,52,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,85,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",Codeyiizen.com,68,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",Codeyiizen.com,25,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",Codeyiizen.com,15,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",Codeyiizen.com,72,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",Codeyiizen.com,94,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,85,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",Codeyiizen.com,59,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,34,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",Codeyiizen.com,90,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",Codeyiizen.com,49,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,66,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,92,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",Codeyiizen.com,23,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,60,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",Codeyiizen.com,76,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",Codeyiizen.com,49,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,61,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,31,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,61,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",Codeyiizen.com,27,No,Us
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,77,No,Us
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,37,No,Us
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Third",Codeyiizen.com,17,No,Us
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Third",Codeyiizen.com,49,No,Us
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Third",Codeyiizen.com,24,No,Us
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Second",Codeyiizen.com,27,No,Us
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord First",Codeyiizen.com,70,No,Us
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord First",Codeyiizen.com,23,No,Us
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Second",Codeyiizen.com,54,No,Us
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Second",Codeyiizen.com,81,No,Us
