page_type,url,options.query,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Alexander guizzetti",https://www.f6s.com/alexander-guizzetti,116,Yes,US
GoogleSearchResult,https://www.google.com/,"Alexander guizzetti",https://www.f6s.com/alexander-guizzetti,120,Yes,US
GoogleSearchResult,https://www.google.com/,"Alexander guizzetti",https://www.f6s.com/alexander-guizzetti,101,Yes,US
GoogleSearchResult,https://www.google.com/,"Alexander guizzetti",https://www.f6s.com/alexander-guizzetti,135,Yes,US
GoogleSearchResult,https://www.google.com/,"Alexander guizzetti",https://www.f6s.com/alexander-guizzetti,58,Yes,US
GoogleSearchResult,https://www.google.com/,"Alexander guizzetti",https://www.f6s.com/alexander-guizzetti,139,Yes,US
GoogleSearchResult,https://www.google.com/,"Alexander guizzetti",https://www.f6s.com/alexander-guizzetti,59,Yes,US
GoogleSearchResult,https://www.google.com/,"Alexander guizzetti",https://www.f6s.com/alexander-guizzetti,91,Yes,US
GoogleSearchResult,https://www.google.com/,"Alexander guizzetti",https://www.f6s.com/alexander-guizzetti,61,Yes,US
GoogleSearchResult,https://www.google.com/,"alexander guizzetti",https://www.f6s.com/alexander-guizzetti,77,Yes,US
GoogleSearchResult,https://www.google.com/,"alexander guizzetti",https://www.f6s.com/alexander-guizzetti,72,Yes,US
GoogleSearchResult,https://www.google.com/,"alexander guizzetti",https://www.f6s.com/alexander-guizzetti,41,Yes,US
GoogleSearchResult,https://www.google.com/,"alexander guizzetti",https://www.f6s.com/alexander-guizzetti,137,Yes,US
GoogleSearchResult,https://www.google.com/,"alexander guizzetti",https://www.f6s.com/alexander-guizzetti,145,Yes,US
GoogleSearchResult,https://www.google.com/,"alexander guizzetti",https://www.f6s.com/alexander-guizzetti,95,Yes,US
GoogleSearchResult,https://www.google.com/,"alexander guizzetti",https://www.f6s.com/alexander-guizzetti,108,Yes,US
GoogleSearchResult,https://www.google.com/,"f6s alexander guizzetti",https://www.f6s.com/alexander-guizzetti,111,Yes,US
GoogleSearchResult,https://www.google.com/,"f6s profile alexander guizzetti",https://www.f6s.com/alexander-guizzetti,139,Yes,US
GoogleSearchResult,https://www.google.com/,"f6s profile alexander guizzetti",https://www.f6s.com/alexander-guizzetti,143,Yes,US
GoogleSearchResult,https://www.google.com/,"about alexander guizzetti",https://www.f6s.com/alexander-guizzetti,86,Yes,US
GoogleSearchResult,https://www.google.com/,"bio alexander guizzetti",https://www.f6s.com/alexander-guizzetti,85,Yes,US
GoogleSearchResult,https://www.google.com/,"f6s bio alexander guizzetti",https://www.f6s.com/alexander-guizzetti,83,Yes,US
GoogleSearchResult,https://www.google.com/,"guizzetti f6s bio",https://www.f6s.com/alexander-guizzetti,68,Yes,US
GoogleSearchResult,https://www.google.com/,"guizzetti about",https://www.f6s.com/alexander-guizzetti,125,No,US
GoogleSearchResult,https://www.google.com/,"guizzetti about",https://www.f6s.com/alexander-guizzetti,60,No,US
GoogleSearchResult,https://www.google.com/,"guizzetti f6s profile",https://www.f6s.com/alexander-guizzetti,121,No,US
GoogleSearchResult,https://www.google.com/,"alexander guizzetti",https://www.crunchbase.com/person/alexander-guizzetti,77,No,US
GoogleSearchResult,https://www.google.com/,"alexander guizzetti",https://www.crunchbase.com/person/alexander-guizzetti,78,No,US
GoogleSearchResult,https://www.google.com/,"alexander guizzetti",https://www.crunchbase.com/person/alexander-guizzetti,63,No,US
GoogleSearchResult,https://www.google.com/,"alexander guizzetti",https://www.crunchbase.com/person/alexander-guizzetti,77,No,US
GoogleSearchResult,https://www.google.com/,"alexander guizzetti",https://www.crunchbase.com/person/alexander-guizzetti,140,No,US
GoogleSearchResult,https://www.google.com/,"about alexander guizzetti",https://www.crunchbase.com/person/alexander-guizzetti,66,No,US
GoogleSearchResult,https://www.google.com/,"about alexander guizzetti",https://www.crunchbase.com/person/alexander-guizzetti,46,No,US
GoogleSearchResult,https://www.google.com/,"about alexander guizzetti",https://www.crunchbase.com/person/alexander-guizzetti,59,No,US
GoogleSearchResult,https://www.google.com/,"profile alexander guizzetti",https://www.crunchbase.com/person/alexander-guizzetti,48,No,US
GoogleSearchResult,https://www.google.com/,"business information alexander guizzetti",https://www.crunchbase.com/person/alexander-guizzetti,147,No,US
GoogleSearchResult,https://www.google.com/,"profile alexander guizzetti",https://www.crunchbase.com/person/alexander-guizzetti,58,No,US
GoogleSearchResult,https://www.google.com/,"guizzetti profile",https://www.crunchbase.com/person/alexander-guizzetti,117,No,US
GoogleSearchResult,https://www.google.com/,"guizzetti about",https://www.crunchbase.com/person/alexander-guizzetti,71,No,US
GoogleSearchResult,https://www.google.com/,"alexander guizzetti",https://www.doyoubuzz.com/alexander-guizzetti,76,No,US
GoogleSearchResult,https://www.google.com/,"alexander guizzetti",https://www.doyoubuzz.com/alexander-guizzetti,117,No,US
GoogleSearchResult,https://www.google.com/,"alexander guizzetti",https://www.doyoubuzz.com/alexander-guizzetti,77,No,US
GoogleSearchResult,https://www.google.com/,"alexander guizzetti",https://www.doyoubuzz.com/alexander-guizzetti,80,No,US
GoogleSearchResult,https://www.google.com/,"alexander guizzetti",https://www.doyoubuzz.com/alexander-guizzetti,68,No,US
GoogleSearchResult,https://www.google.com/,"alexander guizzetti",https://www.doyoubuzz.com/alexander-guizzetti,122,No,US
GoogleSearchResult,https://www.google.com/,"alexander guizzetti",https://www.doyoubuzz.com/alexander-guizzetti,106,No,US
GoogleSearchResult,https://www.google.com/,"profile alexander guizzetti",https://www.doyoubuzz.com/alexander-guizzetti,82,No,US
GoogleSearchResult,https://www.google.com/,"doyoubuzz alexander guizzetti",https://www.doyoubuzz.com/alexander-guizzetti,124,No,US
GoogleSearchResult,https://www.google.com/,"do you buzz profile alexander guizzetti",https://www.doyoubuzz.com/alexander-guizzetti,103,No,US
GoogleSearchResult,https://www.google.com/,"do you buzz profile alexander guizzetti",https://www.doyoubuzz.com/alexander-guizzetti,127,No,US
GoogleSearchResult,https://www.google.com/,"guizzetti do you buzz profile",https://www.doyoubuzz.com/alexander-guizzetti,105,No,US
GoogleSearchResult,https://www.google.com/,"guizzetti information",https://www.doyoubuzz.com/alexander-guizzetti,147,No,US
GoogleSearchResult,https://www.google.com/,"alexander guizzetti",https://www.topionetworks.com/people/alexander-guizzetti-6059167f105eb577319b09f0,93,No,US
GoogleSearchResult,https://www.google.com/,"alexander guizzetti",https://www.topionetworks.com/people/alexander-guizzetti-6059167f105eb577319b09f0,142,No,US
GoogleSearchResult,https://www.google.com/,"alexander guizzetti",https://www.topionetworks.com/people/alexander-guizzetti-6059167f105eb577319b09f0,117,No,US
GoogleSearchResult,https://www.google.com/,"alexander guizzetti",https://www.topionetworks.com/people/alexander-guizzetti-6059167f105eb577319b09f0,137,No,US
GoogleSearchResult,https://www.google.com/,"alexander guizzetti",https://www.topionetworks.com/people/alexander-guizzetti-6059167f105eb577319b09f0,60,No,US
GoogleSearchResult,https://www.google.com/,"alexander guizzetti",https://www.topionetworks.com/people/alexander-guizzetti-6059167f105eb577319b09f0,145,No,US
GoogleSearchResult,https://www.google.com/,"alexander guizzetti",https://www.topionetworks.com/people/alexander-guizzetti-6059167f105eb577319b09f0,57,No,US
GoogleSearchResult,https://www.google.com/,"topio networks alexander guizzetti",https://www.topionetworks.com/people/alexander-guizzetti-6059167f105eb577319b09f0,58,No,US
GoogleSearchResult,https://www.google.com/,"topio networks alexander guizzetti",https://www.topionetworks.com/people/alexander-guizzetti-6059167f105eb577319b09f0,130,No,US
GoogleSearchResult,https://www.google.com/,"topio alexander guizzetti",https://www.topionetworks.com/people/alexander-guizzetti-6059167f105eb577319b09f0,127,No,US
GoogleSearchResult,https://www.google.com/,"topio alexander guizzetti",https://www.topionetworks.com/people/alexander-guizzetti-6059167f105eb577319b09f0,131,No,US
GoogleSearchResult,https://www.google.com/,"guizzetti topio",https://www.topionetworks.com/people/alexander-guizzetti-6059167f105eb577319b09f0,135,No,US
GoogleSearchResult,https://www.google.com/,"guizzetti topio networks",https://www.topionetworks.com/people/alexander-guizzetti-6059167f105eb577319b09f0,40,No,US
