page_type,url,options.resultQuery,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,46,Yes,
GoogleSearchResult,https://www.google.com/,"Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,87,Yes,
GoogleSearchResult,https://www.google.com/,"Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,89,Yes,
GoogleSearchResult,https://www.google.com/,"Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,46,Yes,
GoogleSearchResult,https://www.google.com/,"Test Brand Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,13,Yes,
GoogleSearchResult,https://www.google.com/,"Software Developer Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,13,No,
GoogleSearchResult,https://www.google.com/,"software Developer Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,52,No,
GoogleSearchResult,https://www.google.com/,"ui Developer Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,86,No,
GoogleSearchResult,https://www.google.com/,"test Brand Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,84,No,
GoogleSearchResult,https://www.google.com/,"ui Developer Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,97,No,
GoogleSearchResult,https://www.google.com/,"test Secondary Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,46,No,
GoogleSearchResult,https://www.google.com/,"test Secondary Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,98,No,
GoogleSearchResult,https://www.google.com/,"ui Developer Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,40,No,
GoogleSearchResult,https://www.google.com/,"software Developer Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,69,No,
GoogleSearchResult,https://www.google.com/,"test Secondary Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,66,No,
GoogleSearchResult,https://www.google.com/,"ui Developer Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,63,No,
GoogleSearchResult,https://www.google.com/,"ui Developer Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,100,No,
GoogleSearchResult,https://www.google.com/,"software Developer Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,37,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,58,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,88,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,16,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,76,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,75,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,82,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,32,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,91,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,11,No,
GoogleSearchResult,https://www.google.com/," Ui Developer",allinone.com,58,No,
GoogleSearchResult,https://www.google.com/," Android Developer",allinone.com,93,No,
GoogleSearchResult,https://www.google.com/," Ui Developer",allinone.com,71,No,
