page_type,url,options.resultQuery,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",cas.com.bd,76,Yes,IN
GoogleSearchResult,https://www.google.com/,"Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",cas.com.bd,82,Yes,CA
GoogleSearchResult,https://www.google.com/,"android Developer Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",cas.com.bd,73,No,IN
GoogleSearchResult,https://www.google.com/,"software Developer Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",cas.com.bd,14,No,IN
GoogleSearchResult,https://www.google.com/,"test Brand Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",cas.com.bd,83,No,
GoogleSearchResult,https://www.google.com/,"software Developer Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",cas.com.bd,72,No,
GoogleSearchResult,https://www.google.com/,"android Developer Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",cas.com.bd,100,No,
GoogleSearchResult,https://www.google.com/,"ui Developer Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",cas.com.bd,67,No,
GoogleSearchResult,https://www.google.com/,"ui Developer Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",cas.com.bd,45,No,
GoogleSearchResult,https://www.google.com/,"software Developer Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",cas.com.bd,19,No,
GoogleSearchResult,https://www.google.com/,"ui Developer Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",cas.com.bd,39,No,
GoogleSearchResult,https://www.google.com/,"ui Developer Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",cas.com.bd,19,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",cas.com.bd,60,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",cas.com.bd,29,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Software Developer",cas.com.bd,88,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Software Developer",cas.com.bd,50,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Android Developer",cas.com.bd,57,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Ui Developer",cas.com.bd,63,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Android Developer",cas.com.bd,43,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Ui Developer",cas.com.bd,94,No,
GoogleSearchResult,https://www.google.com/,"Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,29,Yes,CA
GoogleSearchResult,https://www.google.com/,"Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,19,Yes,IN
GoogleSearchResult,https://www.google.com/,"Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,19,Yes,IN
GoogleSearchResult,https://www.google.com/,"lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,39,No,CA
GoogleSearchResult,https://www.google.com/,"ui Developer Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,15,No,
GoogleSearchResult,https://www.google.com/,"ui Developer Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,40,No,CA
GoogleSearchResult,https://www.google.com/,"android Developer Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,35,No,
GoogleSearchResult,https://www.google.com/,"ui Developer Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,40,No,CA
GoogleSearchResult,https://www.google.com/,"software Developer Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,25,No,
GoogleSearchResult,https://www.google.com/,"test Secondary Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,28,No,
GoogleSearchResult,https://www.google.com/,"test Secondary Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,49,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,29,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,14,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,47,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,21,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Test Brand",allinone.com,25,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Test Brand",allinone.com,33,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Android Developer",allinone.com,14,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Test Brand",allinone.com,39,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,23,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,25,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,36,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,17,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,43,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,45,No,
