page_type,url,options.resultQuery,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",cas.com.bd,38,Yes,CA
GoogleSearchResult,https://www.google.com/,"Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",cas.com.bd,11,Yes,CA
GoogleSearchResult,https://www.google.com/,"android Developer Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",cas.com.bd,81,No,
GoogleSearchResult,https://www.google.com/,"test Brand Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",cas.com.bd,18,No,
GoogleSearchResult,https://www.google.com/,"software Developer Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",cas.com.bd,12,No,
GoogleSearchResult,https://www.google.com/,"android Developer Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",cas.com.bd,74,No,
GoogleSearchResult,https://www.google.com/,"test Brand Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",cas.com.bd,29,No,
GoogleSearchResult,https://www.google.com/,"test Secondary Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",cas.com.bd,20,No,
GoogleSearchResult,https://www.google.com/,"software Developer Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",cas.com.bd,88,No,
GoogleSearchResult,https://www.google.com/,"ui Developer Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",cas.com.bd,14,No,
GoogleSearchResult,https://www.google.com/,"test Secondary Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",cas.com.bd,40,No,
GoogleSearchResult,https://www.google.com/,"software Developer Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",cas.com.bd,25,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",cas.com.bd,87,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",cas.com.bd,82,No,
GoogleSearchResult,https://www.google.com/," Software Developer",cas.com.bd,51,No,
GoogleSearchResult,https://www.google.com/," Test Brand",cas.com.bd,97,No,
GoogleSearchResult,https://www.google.com/," Test Brand",cas.com.bd,73,No,
GoogleSearchResult,https://www.google.com/," Ui Developer",cas.com.bd,38,No,
GoogleSearchResult,https://www.google.com/," Android Developer",cas.com.bd,55,No,
GoogleSearchResult,https://www.google.com/," Android Developer",cas.com.bd,60,No,
GoogleSearchResult,https://www.google.com/,"Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,14,Yes,IN
GoogleSearchResult,https://www.google.com/,"Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,27,Yes,IN
GoogleSearchResult,https://www.google.com/,"Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,47,Yes,IN
GoogleSearchResult,https://www.google.com/,"lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,48,No,
GoogleSearchResult,https://www.google.com/,"test Brand Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,25,No,
GoogleSearchResult,https://www.google.com/,"test Brand Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,26,No,
GoogleSearchResult,https://www.google.com/,"ui Developer Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,14,No,
GoogleSearchResult,https://www.google.com/,"software Developer Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,28,No,
GoogleSearchResult,https://www.google.com/,"ui Developer Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,27,No,
GoogleSearchResult,https://www.google.com/,"ui Developer Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,34,No,
GoogleSearchResult,https://www.google.com/,"test Secondary Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,32,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,21,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,29,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,28,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,49,No,
GoogleSearchResult,https://www.google.com/," Software Developer",allinone.com,47,No,
GoogleSearchResult,https://www.google.com/," Ui Developer",allinone.com,40,No,
GoogleSearchResult,https://www.google.com/," Ui Developer",allinone.com,17,No,
GoogleSearchResult,https://www.google.com/," Ui Developer",allinone.com,45,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,13,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,22,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,46,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,32,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,26,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,21,No,
