page_type,url,options.resultQuery,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,52,Yes,
GoogleSearchResult,https://www.google.com/,"Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,89,Yes,
GoogleSearchResult,https://www.google.com/,"Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,26,Yes,
GoogleSearchResult,https://www.google.com/,"Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,80,Yes,
GoogleSearchResult,https://www.google.com/,,allinone.com,54,Yes,
GoogleSearchResult,https://www.google.com/,,allinone.com,43,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,89,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,37,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,56,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,78,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,67,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,70,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,86,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,55,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,69,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,47,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,20,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,13,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,55,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,20,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,57,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,11,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,84,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,24,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,33,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,80,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,96,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,67,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,74,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,88,No,
