page_type,url,options.resultQuery,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",cas.com.bd,28,Yes,CA
GoogleSearchResult,https://www.google.com/,"lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",cas.com.bd,93,No,
GoogleSearchResult,https://www.google.com/,"android Developer Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",cas.com.bd,24,No,
GoogleSearchResult,https://www.google.com/,"software Developer Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",cas.com.bd,98,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",cas.com.bd,39,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Test Brand",cas.com.bd,84,No,
GoogleSearchResult,https://www.google.com/,,cas.com.bd,70,No,
GoogleSearchResult,https://www.google.com/,,cas.com.bd,46,No,
GoogleSearchResult,https://www.google.com/,,cas.com.bd,59,No,
GoogleSearchResult,https://www.google.com/,,cas.com.bd,49,No,
GoogleSearchResult,https://www.google.com/,,cas.com.bd,59,No,
GoogleSearchResult,https://www.google.com/,,cas.com.bd,103,No,
