page_type,url,options.resultQuery,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,13,Yes,CA
GoogleSearchResult,https://www.google.com/,"Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,64,Yes,IN
GoogleSearchResult,https://www.google.com/,"Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,94,Yes,IN
GoogleSearchResult,https://www.google.com/,"Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,26,Yes,CA
GoogleSearchResult,https://www.google.com/,"Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,54,Yes,IN
GoogleSearchResult,https://www.google.com/,,allinone.com,46,Yes,CA
GoogleSearchResult,https://www.google.com/,,allinone.com,100,Yes,
GoogleSearchResult,https://www.google.com/,,allinone.com,65,Yes,
GoogleSearchResult,https://www.google.com/,,allinone.com,71,Yes,CA
GoogleSearchResult,https://www.google.com/,,allinone.com,89,Yes,CA
GoogleSearchResult,https://www.google.com/,,allinone.com,78,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,85,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,40,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,52,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,46,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,34,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,59,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,23,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,52,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,51,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,22,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,53,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,54,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,31,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,82,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,97,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,63,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,41,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,65,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,82,No,
