page_type,url,options.resultQuery,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,20,Yes,CA
GoogleSearchResult,https://www.google.com/,"Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,34,Yes,CA
GoogleSearchResult,https://www.google.com/,"Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,16,Yes,IN
GoogleSearchResult,https://www.google.com/,"Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,18,Yes,CA
GoogleSearchResult,https://www.google.com/,"Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,93,Yes,CA
GoogleSearchResult,https://www.google.com/,"ui Developer Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,19,Yes,CA
GoogleSearchResult,https://www.google.com/,"software Developer Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,22,Yes,
GoogleSearchResult,https://www.google.com/,"android Developer Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,44,Yes,CA
GoogleSearchResult,https://www.google.com/,"ui Developer Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,92,Yes,CA
GoogleSearchResult,https://www.google.com/,"android Developer Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,15,Yes,
GoogleSearchResult,https://www.google.com/,"software Developer Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,59,No,
GoogleSearchResult,https://www.google.com/,"software Developer Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,69,No,
GoogleSearchResult,https://www.google.com/,"ui Developer Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,11,No,
GoogleSearchResult,https://www.google.com/,"software Developer Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,65,No,
GoogleSearchResult,https://www.google.com/,"software Developer Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,81,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,67,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,28,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,93,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,55,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,32,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Ui Developer",allinone.com,40,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Software Developer",allinone.com,91,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Ui Developer",allinone.com,38,No,
