page_type,url,options.resultQuery,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,44,Yes,IN
GoogleSearchResult,https://www.google.com/,"Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,34,Yes,CA
GoogleSearchResult,https://www.google.com/,"Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,33,Yes,IN
GoogleSearchResult,https://www.google.com/,"Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,89,Yes,IN
GoogleSearchResult,https://www.google.com/,"Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,64,Yes,CA
GoogleSearchResult,https://www.google.com/,"software Developer Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,49,Yes,CA
GoogleSearchResult,https://www.google.com/,"test Brand Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,91,Yes,CA
GoogleSearchResult,https://www.google.com/,"test Brand Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,24,Yes,CA
GoogleSearchResult,https://www.google.com/,"software Developer Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,27,Yes,
GoogleSearchResult,https://www.google.com/,"android Developer Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,67,Yes,
GoogleSearchResult,https://www.google.com/,"ui Developer Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,70,No,
GoogleSearchResult,https://www.google.com/,"test Secondary Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,40,No,
GoogleSearchResult,https://www.google.com/,"test Secondary Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,22,No,
GoogleSearchResult,https://www.google.com/,"ui Developer Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,11,No,
GoogleSearchResult,https://www.google.com/,"test Secondary Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,30,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,35,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,54,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,59,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,19,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,20,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Android Developer",allinone.com,35,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Software Developer",allinone.com,70,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Android Developer",allinone.com,31,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Android Developer",allinone.com,87,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Ui Developer",allinone.com,33,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,67,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,24,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,52,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,52,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,55,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,50,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,67,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,61,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,68,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,24,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,29,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,59,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,98,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,94,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,55,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,69,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,46,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,33,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,69,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,56,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,61,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,81,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,28,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,25,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,62,No,
GoogleSearchResult,https://www.google.com/,"Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",pluckit.co.in,35,Yes,CA
GoogleSearchResult,https://www.google.com/,"Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",pluckit.co.in,45,Yes,CA
GoogleSearchResult,https://www.google.com/,"Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",pluckit.co.in,20,Yes,CA
GoogleSearchResult,https://www.google.com/,"Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",pluckit.co.in,94,Yes,IN
GoogleSearchResult,https://www.google.com/,"Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",pluckit.co.in,57,Yes,IN
GoogleSearchResult,https://www.google.com/,"Ui Developer Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",pluckit.co.in,34,Yes,CA
GoogleSearchResult,https://www.google.com/,"Android Developer Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",pluckit.co.in,34,Yes,
GoogleSearchResult,https://www.google.com/,"Android Developer Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",pluckit.co.in,61,Yes,
GoogleSearchResult,https://www.google.com/,"Android Developer Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",pluckit.co.in,84,Yes,CA
GoogleSearchResult,https://www.google.com/,"Test Brand Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",pluckit.co.in,57,Yes,
GoogleSearchResult,https://www.google.com/,"Ui Developer Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",pluckit.co.in,80,Yes,
GoogleSearchResult,https://www.google.com/,"Ui Developer Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",pluckit.co.in,56,Yes,
GoogleSearchResult,https://www.google.com/,"Ui Developer Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",pluckit.co.in,10,Yes,
GoogleSearchResult,https://www.google.com/,"Test Secondary Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",pluckit.co.in,71,No,
GoogleSearchResult,https://www.google.com/,"Test Secondary Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",pluckit.co.in,112,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",pluckit.co.in,83,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",pluckit.co.in,23,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",pluckit.co.in,84,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",pluckit.co.in,26,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",pluckit.co.in,89,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Android Developer",pluckit.co.in,86,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Ui Developer",pluckit.co.in,38,No,
