page_type,url,options.resultQuery,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Test Keyword",https://www.prnewswire.com/news-releases/sahm-adrangis-kerrisdale-capital-issues-negative-report-on-caredx-inc-and-announces-conference-call-schedule-300885501.html,63,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",https://www.prnewswire.com/news-releases/sahm-adrangis-kerrisdale-capital-issues-negative-report-on-caredx-inc-and-announces-conference-call-schedule-300885501.html,64,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",https://www.prnewswire.com/news-releases/sahm-adrangis-kerrisdale-capital-issues-negative-report-on-caredx-inc-and-announces-conference-call-schedule-300885501.html,119,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",https://www.prnewswire.com/news-releases/sahm-adrangis-kerrisdale-capital-issues-negative-report-on-caredx-inc-and-announces-conference-call-schedule-300885501.html,15,Yes,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",https://www.prnewswire.com/news-releases/sahm-adrangis-kerrisdale-capital-issues-negative-report-on-caredx-inc-and-announces-conference-call-schedule-300885501.html,120,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",https://www.prnewswire.com/news-releases/sahm-adrangis-kerrisdale-capital-issues-negative-report-on-caredx-inc-and-announces-conference-call-schedule-300885501.html,23,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",https://www.prnewswire.com/news-releases/sahm-adrangis-kerrisdale-capital-issues-negative-report-on-caredx-inc-and-announces-conference-call-schedule-300885501.html,25,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",https://www.prnewswire.com/news-releases/sahm-adrangis-kerrisdale-capital-issues-negative-report-on-caredx-inc-and-announces-conference-call-schedule-300885501.html,14,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",https://www.prnewswire.com/news-releases/sahm-adrangis-kerrisdale-capital-issues-negative-report-on-caredx-inc-and-announces-conference-call-schedule-300885501.html,18,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",https://www.prnewswire.com/news-releases/sahm-adrangis-kerrisdale-capital-issues-negative-report-on-caredx-inc-and-announces-conference-call-schedule-300885501.html,67,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",https://www.prnewswire.com/news-releases/sahm-adrangis-kerrisdale-capital-issues-negative-report-on-caredx-inc-and-announces-conference-call-schedule-300885501.html,55,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",https://www.prnewswire.com/news-releases/sahm-adrangis-kerrisdale-capital-issues-negative-report-on-caredx-inc-and-announces-conference-call-schedule-300885501.html,79,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword Test Keyword",https://www.prnewswire.com/news-releases/sahm-adrangis-kerrisdale-capital-issues-negative-report-on-caredx-inc-and-announces-conference-call-schedule-300885501.html,92,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword Test Keyword",https://www.prnewswire.com/news-releases/sahm-adrangis-kerrisdale-capital-issues-negative-report-on-caredx-inc-and-announces-conference-call-schedule-300885501.html,33,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword Test Keyword",https://www.prnewswire.com/news-releases/sahm-adrangis-kerrisdale-capital-issues-negative-report-on-caredx-inc-and-announces-conference-call-schedule-300885501.html,55,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword Test Keyword",https://www.prnewswire.com/news-releases/sahm-adrangis-kerrisdale-capital-issues-negative-report-on-caredx-inc-and-announces-conference-call-schedule-300885501.html,28,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword kerrisdale holdings",https://www.prnewswire.com/news-releases/sahm-adrangis-kerrisdale-capital-issues-negative-report-on-caredx-inc-and-announces-conference-call-schedule-300885501.html,78,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger21 now",https://www.prnewswire.com/news-releases/sahm-adrangis-kerrisdale-capital-issues-negative-report-on-caredx-inc-and-announces-conference-call-schedule-300885501.html,115,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger21 now",https://www.prnewswire.com/news-releases/sahm-adrangis-kerrisdale-capital-issues-negative-report-on-caredx-inc-and-announces-conference-call-schedule-300885501.html,41,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword kerrisdale holdings",https://www.prnewswire.com/news-releases/sahm-adrangis-kerrisdale-capital-issues-negative-report-on-caredx-inc-and-announces-conference-call-schedule-300885501.html,111,No,IN
GoogleSearchResult,https://www.google.com/,,https://www.prnewswire.com/news-releases/sahm-adrangis-kerrisdale-capital-issues-negative-report-on-caredx-inc-and-announces-conference-call-schedule-300885501.html,72,No,IN
GoogleSearchResult,https://www.google.com/,,https://www.prnewswire.com/news-releases/sahm-adrangis-kerrisdale-capital-issues-negative-report-on-caredx-inc-and-announces-conference-call-schedule-300885501.html,34,No,IN
GoogleSearchResult,https://www.google.com/,,https://www.prnewswire.com/news-releases/sahm-adrangis-kerrisdale-capital-issues-negative-report-on-caredx-inc-and-announces-conference-call-schedule-300885501.html,34,No,IN
GoogleSearchResult,https://www.google.com/,,https://www.prnewswire.com/news-releases/sahm-adrangis-kerrisdale-capital-issues-negative-report-on-caredx-inc-and-announces-conference-call-schedule-300885501.html,22,No,IN
GoogleSearchResult,https://www.google.com/,,https://www.prnewswire.com/news-releases/sahm-adrangis-kerrisdale-capital-issues-negative-report-on-caredx-inc-and-announces-conference-call-schedule-300885501.html,45,No,IN
