page_type,url,options.query,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",allinone.com,85,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",allinone.com,17,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",allinone.com,31,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",allinone.com,102,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",allinone.com,119,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",allinone.com,99,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",allinone.com,59,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",allinone.com,126,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",allinone.com,28,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",allinone.com,61,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",allinone.com,48,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",allinone.com,93,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",allinone.com,68,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",allinone.com,112,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",allinone.com,108,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",allinone.com,90,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",allinone.com,129,Yes,US
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",allinone.com,129,Yes,US
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",allinone.com,102,Yes,US
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",allinone.com,44,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second",allinone.com,121,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Third",allinone.com,138,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second",allinone.com,38,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord First",allinone.com,40,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Third",allinone.com,17,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second",allinone.com,31,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Third",allinone.com,120,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord First",allinone.com,37,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Third",allinone.com,135,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second",allinone.com,138,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Third",allinone.com,81,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Third",allinone.com,127,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second",allinone.com,83,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second",allinone.com,98,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord First",allinone.com,115,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord First",allinone.com,39,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second",allinone.com,61,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second",allinone.com,41,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord First",allinone.com,58,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Third",allinone.com,72,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second",allinone.com,14,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Third",allinone.com,121,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Third",allinone.com,94,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Third",allinone.com,14,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Third",allinone.com,44,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second",allinone.com,112,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Third",allinone.com,110,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second",allinone.com,88,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord First",allinone.com,82,Yes,
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Third",allinone.com,93,Yes,
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second",allinone.com,115,Yes,
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Third",allinone.com,69,Yes,
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second",allinone.com,65,Yes,
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord First",allinone.com,62,Yes,
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second",allinone.com,13,Yes,
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord First",allinone.com,135,Yes,
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second",allinone.com,15,Yes,
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord First",allinone.com,97,Yes,
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second",allinone.com,41,Yes,
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord First",allinone.com,48,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Second ",allinone.com,49,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord First ",allinone.com,56,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third ",allinone.com,44,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord First ",allinone.com,20,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third ",allinone.com,81,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord First ",allinone.com,101,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Second ",allinone.com,112,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Second ",allinone.com,92,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third ",allinone.com,139,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Second ",allinone.com,102,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third ",allinone.com,66,Yes,
