page_type,url,options.query,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,37,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,91,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,97,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,95,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,60,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,60,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,16,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,113,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,18,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,100,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,66,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,119,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,32,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,46,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,79,Yes,IN
GoogleSearchResult,https://www.google.com/,"Kerrisdale holdings Test Keyword",cas.com.bd,111,Yes,IN
GoogleSearchResult,https://www.google.com/,"Tiger21 now Test Keyword",cas.com.bd,108,Yes,IN
GoogleSearchResult,https://www.google.com/,"Tiger21 now Test Keyword",cas.com.bd,99,Yes,IN
GoogleSearchResult,https://www.google.com/,"Kerrisdale holdings Test Keyword",cas.com.bd,80,Yes,IN
GoogleSearchResult,https://www.google.com/,"Tiger21 now Test Keyword",cas.com.bd,83,Yes,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,120,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,88,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,44,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,16,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,120,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,59,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,106,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,93,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,67,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,59,No,IN
