page_type,url,options.query,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,27,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,118,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,93,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,33,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,20,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,23,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,34,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,74,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,38,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,66,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,83,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,35,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,114,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,80,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,23,Yes,IN
GoogleSearchResult,https://www.google.com/,"Tiger21 now Test Keyword",cas.com.bd,37,Yes,IN
GoogleSearchResult,https://www.google.com/,"Kerrisdale holdings Test Keyword",cas.com.bd,48,Yes,IN
GoogleSearchResult,https://www.google.com/,"Tiger21 now Test Keyword",cas.com.bd,51,Yes,IN
GoogleSearchResult,https://www.google.com/,"Tiger21 now Test Keyword",cas.com.bd,28,Yes,IN
GoogleSearchResult,https://www.google.com/,"Tiger21 now Test Keyword",cas.com.bd,74,Yes,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,102,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,19,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,49,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,84,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,47,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,23,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,27,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,66,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,28,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,72,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,89,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,25,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,75,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,51,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,36,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,118,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,82,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,95,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,24,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,89,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,100,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,98,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,94,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,65,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,92,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword before kerrisdale",cas.com.bd,90,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger 21",cas.com.bd,87,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword before kerrisdale",cas.com.bd,79,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword before kerrisdale",cas.com.bd,51,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger 21",cas.com.bd,10,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword before kerrisdale",cas.com.bd,90,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword before kerrisdale",cas.com.bd,29,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger 21",cas.com.bd,38,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger 21",cas.com.bd,75,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword before kerrisdale",cas.com.bd,86,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword before kerrisdale",cas.com.bd,19,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger 21",cas.com.bd,72,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger 21",cas.com.bd,106,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger 21",cas.com.bd,95,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword before kerrisdale",cas.com.bd,116,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword kerrisdale holdings",cas.com.bd,59,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger21 now",cas.com.bd,18,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword kerrisdale holdings",cas.com.bd,61,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword kerrisdale holdings",cas.com.bd,68,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger21 now",cas.com.bd,22,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword kerrisdale holdings",cas.com.bd,14,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword kerrisdale holdings",cas.com.bd,88,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger21 now",cas.com.bd,75,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword kerrisdale holdings",cas.com.bd,108,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger21 now",cas.com.bd,83,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger21 now",cas.com.bd,36,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword kerrisdale holdings",cas.com.bd,14,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger21 now",cas.com.bd,18,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword kerrisdale holdings",cas.com.bd,48,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword kerrisdale holdings",cas.com.bd,39,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,83,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,31,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,108,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,10,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,43,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,63,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,72,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,39,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,108,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,30,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,46,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,80,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,65,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,53,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,103,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,33,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,55,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,26,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,64,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,44,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,57,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,96,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,35,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,113,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,44,No,IN
