page_type,url,options.query,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,83,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,120,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,61,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,94,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,76,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,94,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,47,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,93,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,24,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,90,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,58,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,37,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,55,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,23,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,97,Yes,IN
GoogleSearchResult,https://www.google.com/,"Tiger21 now Test Keyword",cas.com.bd,81,Yes,IN
GoogleSearchResult,https://www.google.com/,"Kerrisdale holdings Test Keyword",cas.com.bd,10,Yes,IN
GoogleSearchResult,https://www.google.com/,"Kerrisdale holdings Test Keyword",cas.com.bd,61,Yes,IN
GoogleSearchResult,https://www.google.com/,"Kerrisdale holdings Test Keyword",cas.com.bd,95,Yes,IN
GoogleSearchResult,https://www.google.com/,"Kerrisdale holdings Test Keyword",cas.com.bd,97,Yes,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,41,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,109,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,104,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,69,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,95,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,25,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,110,No,IN
