page_type,url,options.query,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,14,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,89,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,65,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,64,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,51,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,74,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,112,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,24,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,65,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,102,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,91,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,74,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,41,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,23,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,76,Yes,IN
GoogleSearchResult,https://www.google.com/,"Tiger21 now Test Keyword",cas.com.bd,104,Yes,IN
GoogleSearchResult,https://www.google.com/,"Tiger21 now Test Keyword",cas.com.bd,83,Yes,IN
GoogleSearchResult,https://www.google.com/,"Kerrisdale holdings Test Keyword",cas.com.bd,18,Yes,IN
GoogleSearchResult,https://www.google.com/,"Kerrisdale holdings Test Keyword",cas.com.bd,62,Yes,IN
GoogleSearchResult,https://www.google.com/,"Kerrisdale holdings Test Keyword",cas.com.bd,47,Yes,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,23,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,24,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,65,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,32,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,69,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,26,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,77,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,97,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,60,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,56,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,113,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,21,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,43,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,94,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,24,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,13,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,60,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,110,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,81,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,55,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,116,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,35,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,30,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,103,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,75,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger 21",cas.com.bd,36,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger 21",cas.com.bd,42,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger 21",cas.com.bd,99,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger 21",cas.com.bd,68,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword before kerrisdale",cas.com.bd,15,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword before kerrisdale",cas.com.bd,51,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword before kerrisdale",cas.com.bd,99,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword before kerrisdale",cas.com.bd,87,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword before kerrisdale",cas.com.bd,11,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger 21",cas.com.bd,50,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger 21",cas.com.bd,41,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger 21",cas.com.bd,42,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword before kerrisdale",cas.com.bd,101,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger 21",cas.com.bd,103,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword before kerrisdale",cas.com.bd,86,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword kerrisdale holdings",cas.com.bd,20,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword kerrisdale holdings",cas.com.bd,99,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword kerrisdale holdings",cas.com.bd,87,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword kerrisdale holdings",cas.com.bd,91,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger21 now",cas.com.bd,118,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger21 now",cas.com.bd,120,No,IN
