page_type,url,options.query,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,19,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,35,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,21,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,37,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,13,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,119,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,48,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,113,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,97,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,39,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,11,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,42,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,42,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,67,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,41,Yes,IN
GoogleSearchResult,https://www.google.com/,"Kerrisdale holdings Test Keyword",cas.com.bd,19,Yes,IN
GoogleSearchResult,https://www.google.com/,"Kerrisdale holdings Test Keyword",cas.com.bd,17,Yes,IN
GoogleSearchResult,https://www.google.com/,"Tiger21 now Test Keyword",cas.com.bd,54,Yes,IN
GoogleSearchResult,https://www.google.com/,"Kerrisdale holdings Test Keyword",cas.com.bd,56,Yes,IN
GoogleSearchResult,https://www.google.com/,"Kerrisdale holdings Test Keyword",cas.com.bd,34,Yes,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,17,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,85,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,34,No,IN
