page_type,url,options.query,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,75,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,16,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,34,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,92,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,60,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,11,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,19,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,72,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,24,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,67,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,39,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,59,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,83,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,55,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,59,Yes,IN
GoogleSearchResult,https://www.google.com/,"Tiger21 now Test Keyword",cas.com.bd,29,Yes,IN
GoogleSearchResult,https://www.google.com/,"Kerrisdale holdings Test Keyword",cas.com.bd,104,Yes,IN
GoogleSearchResult,https://www.google.com/,"Tiger21 now Test Keyword",cas.com.bd,103,Yes,IN
GoogleSearchResult,https://www.google.com/,"Kerrisdale holdings Test Keyword",cas.com.bd,46,Yes,IN
GoogleSearchResult,https://www.google.com/,"Tiger21 now Test Keyword",cas.com.bd,22,Yes,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,36,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,96,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,11,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,54,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,76,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,17,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,107,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,54,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,89,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,63,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,103,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,45,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,24,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,52,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,112,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,38,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,116,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,90,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,119,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,29,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,66,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,16,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,44,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,67,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,34,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword before kerrisdale",cas.com.bd,48,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword before kerrisdale",cas.com.bd,107,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword before kerrisdale",cas.com.bd,84,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword before kerrisdale",cas.com.bd,68,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword before kerrisdale",cas.com.bd,35,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword before kerrisdale",cas.com.bd,74,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword before kerrisdale",cas.com.bd,52,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword before kerrisdale",cas.com.bd,63,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger 21",cas.com.bd,71,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger 21",cas.com.bd,41,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword before kerrisdale",cas.com.bd,59,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger 21",cas.com.bd,39,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword before kerrisdale",cas.com.bd,120,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword before kerrisdale",cas.com.bd,117,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword before kerrisdale",cas.com.bd,38,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger21 now",cas.com.bd,79,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword kerrisdale holdings",cas.com.bd,112,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger21 now",cas.com.bd,46,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword kerrisdale holdings",cas.com.bd,54,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger21 now",cas.com.bd,29,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger21 now",cas.com.bd,44,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger21 now",cas.com.bd,54,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger21 now",cas.com.bd,82,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger21 now",cas.com.bd,12,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger21 now",cas.com.bd,60,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger21 now",cas.com.bd,112,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword kerrisdale holdings",cas.com.bd,19,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger21 now",cas.com.bd,18,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword tiger21 now",cas.com.bd,23,No,IN
GoogleSearchResult,https://www.google.com/,"test Keyword kerrisdale holdings",cas.com.bd,74,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,21,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,25,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,97,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,110,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,77,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,60,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,103,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,86,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,100,No,IN
GoogleSearchResult,https://www.google.com/,,cas.com.bd,53,No,IN
