page_type,url,options.query,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,61,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,109,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,57,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,84,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,16,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,10,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,107,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,110,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,71,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,23,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,108,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,29,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,15,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,31,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,17,Yes,IN
GoogleSearchResult,https://www.google.com/,"Tiger21 now Test Keyword",cas.com.bd,94,Yes,IN
GoogleSearchResult,https://www.google.com/,"Tiger21 now Test Keyword",cas.com.bd,117,Yes,IN
GoogleSearchResult,https://www.google.com/,"Tiger21 now Test Keyword",cas.com.bd,93,Yes,IN
GoogleSearchResult,https://www.google.com/,"Tiger21 now Test Keyword",cas.com.bd,102,Yes,IN
GoogleSearchResult,https://www.google.com/,"Tiger21 now Test Keyword",cas.com.bd,61,Yes,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,33,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,96,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,108,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,45,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,66,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,119,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,92,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,118,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,23,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,94,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,72,No,IN
GoogleSearchResult,https://www.google.com/,"before kerrisdale Test Keyword",cas.com.bd,58,No,IN
GoogleSearchResult,https://www.google.com/,"tiger 21 Test Keyword",cas.com.bd,13,No,IN
