page_type,url,options.query,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,28,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,50,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,104,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,85,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,100,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,24,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,53,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,30,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,91,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,112,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,50,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,23,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,23,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,76,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Keyword",cas.com.bd,69,Yes,IN
GoogleSearchResult,https://www.google.com/,"Tiger21 now Test Keyword",cas.com.bd,35,Yes,IN
GoogleSearchResult,https://www.google.com/,"Tiger21 now Test Keyword",cas.com.bd,44,Yes,IN
GoogleSearchResult,https://www.google.com/,"Tiger21 now Test Keyword",cas.com.bd,113,Yes,IN
GoogleSearchResult,https://www.google.com/,"Kerrisdale holdings Test Keyword",cas.com.bd,118,Yes,IN
GoogleSearchResult,https://www.google.com/,"Kerrisdale holdings Test Keyword",cas.com.bd,68,Yes,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,71,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,42,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,81,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,15,No,IN
GoogleSearchResult,https://www.google.com/,"kerrisdale holdings Test Keyword",cas.com.bd,83,No,IN
GoogleSearchResult,https://www.google.com/,"tiger21 now Test Keyword",cas.com.bd,23,No,IN
