page_type,url,options.resultQuery,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,20,Yes,IN
GoogleSearchResult,https://www.google.com/,"Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,10,Yes,IN
GoogleSearchResult,https://www.google.com/,"Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,15,Yes,IN
GoogleSearchResult,https://www.google.com/,"Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,16,Yes,IN
GoogleSearchResult,https://www.google.com/,"Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,20,Yes,IN
GoogleSearchResult,https://www.google.com/," Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,11,Yes,IN
GoogleSearchResult,https://www.google.com/," Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,11,Yes,IN
GoogleSearchResult,https://www.google.com/," Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,18,Yes,IN
GoogleSearchResult,https://www.google.com/," Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,19,Yes,IN
GoogleSearchResult,https://www.google.com/," Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,17,Yes,IN
GoogleSearchResult,https://www.google.com/," Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,11,Yes,IN
GoogleSearchResult,https://www.google.com/," Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",allinone.com,13,Yes,IN
GoogleSearchResult,https://www.google.com/," Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,16,Yes,IN
GoogleSearchResult,https://www.google.com/," Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,18,Yes,IN
GoogleSearchResult,https://www.google.com/," Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,10,Yes,IN
GoogleSearchResult,https://www.google.com/,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. ",allinone.com,19,Yes,IN
GoogleSearchResult,https://www.google.com/,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. ",allinone.com,20,Yes,IN
GoogleSearchResult,https://www.google.com/,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. ",allinone.com,11,Yes,IN
GoogleSearchResult,https://www.google.com/,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. ",allinone.com,18,Yes,IN
GoogleSearchResult,https://www.google.com/,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. ",allinone.com,20,Yes,IN
GoogleSearchResult,https://www.google.com/,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. ",allinone.com,19,Yes,IN
GoogleSearchResult,https://www.google.com/,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. ",allinone.com,19,Yes,IN
GoogleSearchResult,https://www.google.com/,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. ",allinone.com,17,Yes,IN
GoogleSearchResult,https://www.google.com/,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. ",allinone.com,10,Yes,IN
GoogleSearchResult,https://www.google.com/,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. ",allinone.com,18,Yes,IN
GoogleSearchResult,https://www.google.com/,,allinone.com,14,Yes,IN
GoogleSearchResult,https://www.google.com/,,allinone.com,15,Yes,IN
GoogleSearchResult,https://www.google.com/,,allinone.com,11,Yes,IN
GoogleSearchResult,https://www.google.com/,,allinone.com,15,Yes,IN
GoogleSearchResult,https://www.google.com/,,allinone.com,17,Yes,IN
GoogleSearchResult,https://www.google.com/,,allinone.com,19,Yes,IN
GoogleSearchResult,https://www.google.com/,,allinone.com,13,Yes,IN
GoogleSearchResult,https://www.google.com/,,allinone.com,17,Yes,IN
GoogleSearchResult,https://www.google.com/,,allinone.com,19,Yes,IN
GoogleSearchResult,https://www.google.com/,,allinone.com,20,Yes,IN
GoogleSearchResult,https://www.google.com/,,allinone.com,11,Yes,IN
GoogleSearchResult,https://www.google.com/,,allinone.com,13,Yes,IN
GoogleSearchResult,https://www.google.com/,,allinone.com,18,Yes,IN
GoogleSearchResult,https://www.google.com/,,allinone.com,18,Yes,IN
GoogleSearchResult,https://www.google.com/,,allinone.com,20,Yes,IN
GoogleSearchResult,https://www.google.com/,,allinone.com,13,Yes,IN
GoogleSearchResult,https://www.google.com/,,allinone.com,14,Yes,IN
GoogleSearchResult,https://www.google.com/,,allinone.com,12,Yes,IN
GoogleSearchResult,https://www.google.com/,,allinone.com,12,Yes,IN
GoogleSearchResult,https://www.google.com/,,allinone.com,17,Yes,IN
GoogleSearchResult,https://www.google.com/,,allinone.com,11,Yes,IN
GoogleSearchResult,https://www.google.com/,,allinone.com,18,Yes,IN
GoogleSearchResult,https://www.google.com/,,allinone.com,11,Yes,IN
GoogleSearchResult,https://www.google.com/,,allinone.com,19,Yes,IN
GoogleSearchResult,https://www.google.com/,,allinone.com,16,Yes,IN
GoogleSearchResult,https://www.google.com/,"Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",pluckit.co.in,15,No,IN
GoogleSearchResult,https://www.google.com/,"Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",pluckit.co.in,15,No,IN
GoogleSearchResult,https://www.google.com/,"Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",pluckit.co.in,12,No,IN
GoogleSearchResult,https://www.google.com/,"Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",pluckit.co.in,16,No,IN
GoogleSearchResult,https://www.google.com/,"Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",pluckit.co.in,19,No,IN
GoogleSearchResult,https://www.google.com/," Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",pluckit.co.in,18,No,IN
GoogleSearchResult,https://www.google.com/," Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",pluckit.co.in,15,No,IN
GoogleSearchResult,https://www.google.com/," Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",pluckit.co.in,10,No,IN
GoogleSearchResult,https://www.google.com/," Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",pluckit.co.in,15,No,IN
GoogleSearchResult,https://www.google.com/," Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",pluckit.co.in,16,No,IN
GoogleSearchResult,https://www.google.com/," Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",pluckit.co.in,14,No,IN
GoogleSearchResult,https://www.google.com/," Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",pluckit.co.in,18,No,IN
GoogleSearchResult,https://www.google.com/," Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry",pluckit.co.in,18,No,IN
GoogleSearchResult,https://www.google.com/," Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",pluckit.co.in,16,No,IN
GoogleSearchResult,https://www.google.com/," Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",pluckit.co.in,20,No,IN
GoogleSearchResult,https://www.google.com/,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. ",pluckit.co.in,13,No,IN
GoogleSearchResult,https://www.google.com/,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. ",pluckit.co.in,12,No,IN
GoogleSearchResult,https://www.google.com/,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. ",pluckit.co.in,14,No,IN
GoogleSearchResult,https://www.google.com/,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. ",pluckit.co.in,20,No,IN
GoogleSearchResult,https://www.google.com/,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. ",pluckit.co.in,10,No,IN
GoogleSearchResult,https://www.google.com/,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. ",pluckit.co.in,19,No,IN
GoogleSearchResult,https://www.google.com/,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. ",pluckit.co.in,18,No,IN
GoogleSearchResult,https://www.google.com/,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. ",pluckit.co.in,11,No,IN
GoogleSearchResult,https://www.google.com/,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. ",pluckit.co.in,10,No,IN
GoogleSearchResult,https://www.google.com/,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. ",pluckit.co.in,15,No,IN
GoogleSearchResult,https://www.google.com/,,pluckit.co.in,17,No,IN
GoogleSearchResult,https://www.google.com/,,pluckit.co.in,18,No,IN
GoogleSearchResult,https://www.google.com/,,pluckit.co.in,16,No,IN
GoogleSearchResult,https://www.google.com/,,pluckit.co.in,18,No,IN
GoogleSearchResult,https://www.google.com/,,pluckit.co.in,19,No,IN
GoogleSearchResult,https://www.google.com/,,pluckit.co.in,17,No,IN
GoogleSearchResult,https://www.google.com/,,pluckit.co.in,19,No,IN
GoogleSearchResult,https://www.google.com/,,pluckit.co.in,18,No,IN
GoogleSearchResult,https://www.google.com/,,pluckit.co.in,13,No,IN
GoogleSearchResult,https://www.google.com/,,pluckit.co.in,16,No,IN
GoogleSearchResult,https://www.google.com/,,pluckit.co.in,10,No,IN
GoogleSearchResult,https://www.google.com/,,pluckit.co.in,19,No,IN
GoogleSearchResult,https://www.google.com/,,pluckit.co.in,13,No,IN
GoogleSearchResult,https://www.google.com/,,pluckit.co.in,13,No,IN
GoogleSearchResult,https://www.google.com/,,pluckit.co.in,16,No,IN
GoogleSearchResult,https://www.google.com/,,pluckit.co.in,15,No,IN
GoogleSearchResult,https://www.google.com/,,pluckit.co.in,19,No,IN
GoogleSearchResult,https://www.google.com/,,pluckit.co.in,13,No,IN
GoogleSearchResult,https://www.google.com/,,pluckit.co.in,20,No,IN
GoogleSearchResult,https://www.google.com/,,pluckit.co.in,17,No,IN
GoogleSearchResult,https://www.google.com/,,pluckit.co.in,14,No,IN
GoogleSearchResult,https://www.google.com/,,pluckit.co.in,13,No,IN
GoogleSearchResult,https://www.google.com/,,pluckit.co.in,19,No,IN
GoogleSearchResult,https://www.google.com/,,pluckit.co.in,10,No,IN
GoogleSearchResult,https://www.google.com/,,pluckit.co.in,14,No,IN
GoogleSearchResult,https://www.google.com/,"lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",Codeyiizen.com,12,No,IN
GoogleSearchResult,https://www.google.com/,"lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",Codeyiizen.com,14,No,IN
