page_type,url,options.resultQuery,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third-Exact",allinone.com,14,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second-Exact",allinone.com,18,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second-Exact",allinone.com,19,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second-Exact",allinone.com,16,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second-Exact",allinone.com,15,Yes,IN
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second-Brandplusexact",allinone.com,18,Yes,IN
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Third-Brandplusexact",allinone.com,16,Yes,IN
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second-Brandplusexact",allinone.com,17,Yes,IN
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord First-Brandplusexact",allinone.com,11,Yes,IN
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Third-Brandplusexact",allinone.com,19,Yes,IN
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord First-Secondaryplusexact",allinone.com,12,Yes,IN
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second-Secondaryplusexact",allinone.com,17,Yes,IN
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Third-Secondaryplusexact",allinone.com,10,Yes,IN
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Third-Secondaryplusexact",allinone.com,19,Yes,IN
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second-Secondaryplusexact",allinone.com,18,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord First -Partialplussecondary",allinone.com,12,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord First -Partialplussecondary",allinone.com,18,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Second -Partialplussecondary",allinone.com,15,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Third -Partialplussecondary",allinone.com,11,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord First -Partialplussecondary",allinone.com,14,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Second -Partialplusbrand",allinone.com,10,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Second -Partialplusbrand",allinone.com,13,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord First -Partialplusbrand",allinone.com,20,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Third -Partialplusbrand",allinone.com,17,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Third -Partialplusbrand",allinone.com,16,Yes,IN
GoogleSearchResult,https://www.google.com/,,allinone.com,17,Yes,IN
GoogleSearchResult,https://www.google.com/,,allinone.com,12,Yes,IN
