page_type,url,options.query,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,83,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,66,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,54,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,36,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,34,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,54,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,72,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,15,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,61,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,10,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,23,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,99,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,94,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,50,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,107,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,84,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,40,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,63,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,15,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,101,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,120,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,19,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,61,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,107,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,99,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,22,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,86,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,42,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,10,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,91,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,59,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,26,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,70,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,35,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,77,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,58,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,84,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,30,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,33,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,59,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,111,Yes,US
