page_type,url,options.query,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,88,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,28,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,16,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,114,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,80,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,56,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,22,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,20,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,70,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,37,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,46,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,106,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,86,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,87,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,100,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,59,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,40,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,44,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,81,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,101,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,69,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,111,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,61,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,33,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,46,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,66,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,69,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,59,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,36,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,82,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,70,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,69,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,59,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,26,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,60,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,25,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,118,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,108,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,117,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,27,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,23,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,52,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,42,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,51,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,106,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,85,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,76,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,39,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,35,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,29,Yes,US
GoogleSearchResult,https://www.google.com/,"crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,73,No,US
GoogleSearchResult,https://www.google.com/,"crawler Brand keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,110,No,US
GoogleSearchResult,https://www.google.com/,"crawler Brand keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,64,No,US
GoogleSearchResult,https://www.google.com/,"crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,73,No,US
GoogleSearchResult,https://www.google.com/,"crawler Brand keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,75,No,US
GoogleSearchResult,https://www.google.com/,"crawler Brand keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,79,No,US
GoogleSearchResult,https://www.google.com/,"crawler Brand keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,33,No,US
GoogleSearchResult,https://www.google.com/,"crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,99,No,US
GoogleSearchResult,https://www.google.com/,"crawler Brand keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,51,No,US
GoogleSearchResult,https://www.google.com/,"crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,119,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,118,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,109,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,76,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,22,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,91,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,43,No,US
