page_type,url,options.query,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,119,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,69,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,65,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,114,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,61,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,58,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,59,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,81,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,97,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,26,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,58,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,109,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,99,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,42,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,92,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,40,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,38,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,93,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,86,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,59,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,71,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,45,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,24,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,77,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,16,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,51,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,55,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,68,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,46,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,25,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,101,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,20,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,80,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,42,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,87,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,113,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,109,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,16,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,57,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,38,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,52,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,86,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,118,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,60,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,99,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,115,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,77,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,81,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,61,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Brand keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,23,Yes,US
GoogleSearchResult,https://www.google.com/,"crawler Brand keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,10,No,US
GoogleSearchResult,https://www.google.com/,"crawler Brand keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,120,No,US
GoogleSearchResult,https://www.google.com/,"crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,17,No,US
GoogleSearchResult,https://www.google.com/,"crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,70,No,US
GoogleSearchResult,https://www.google.com/,"crawler Brand keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,29,No,US
GoogleSearchResult,https://www.google.com/,"crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,57,No,US
GoogleSearchResult,https://www.google.com/,"crawler Brand keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,69,No,US
GoogleSearchResult,https://www.google.com/,"crawler Brand keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,50,No,US
GoogleSearchResult,https://www.google.com/,"crawler Brand keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,53,No,US
GoogleSearchResult,https://www.google.com/,"crawler Brand keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,47,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,95,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,102,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,55,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,36,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,47,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,25,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,118,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,21,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,87,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,62,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,47,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,76,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,16,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,71,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,104,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,79,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,89,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,43,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,16,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,34,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,60,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,108,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,30,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,62,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,80,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,28,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,49,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,69,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,14,No,US
GoogleSearchResult,https://www.google.com/,"crawler Secondary keyword Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,78,No,US
GoogleSearchResult,https://www.google.com/,"crawler Partial keyword Crawler Secondary keyword",codeyiizen.com/dev/cloudcrawler/admin/login,36,No,US
GoogleSearchResult,https://www.google.com/,"crawler partial keyword Second Crawler Secondary keyword",codeyiizen.com/dev/cloudcrawler/admin/login,10,No,US
GoogleSearchResult,https://www.google.com/,"crawler partial keyword Second Crawler Secondary keyword",codeyiizen.com/dev/cloudcrawler/admin/login,110,No,US
GoogleSearchResult,https://www.google.com/,"crawler partial keyword Second Crawler Secondary keyword",codeyiizen.com/dev/cloudcrawler/admin/login,52,No,US
GoogleSearchResult,https://www.google.com/,"crawler Partial keyword Crawler Secondary keyword",codeyiizen.com/dev/cloudcrawler/admin/login,62,No,US
GoogleSearchResult,https://www.google.com/,"crawler partial keyword Second Crawler Secondary keyword",codeyiizen.com/dev/cloudcrawler/admin/login,103,No,US
GoogleSearchResult,https://www.google.com/,"crawler Partial keyword Crawler Secondary keyword",codeyiizen.com/dev/cloudcrawler/admin/login,12,No,US
GoogleSearchResult,https://www.google.com/,"crawler Partial keyword Crawler Secondary keyword",codeyiizen.com/dev/cloudcrawler/admin/login,79,No,US
GoogleSearchResult,https://www.google.com/,"crawler partial keyword Second Crawler Secondary keyword",codeyiizen.com/dev/cloudcrawler/admin/login,40,No,US
GoogleSearchResult,https://www.google.com/,"crawler partial keyword Second Crawler Secondary keyword",codeyiizen.com/dev/cloudcrawler/admin/login,47,No,US
GoogleSearchResult,https://www.google.com/,"crawler partial keyword Second Crawler Secondary keyword",codeyiizen.com/dev/cloudcrawler/admin/login,50,No,US
GoogleSearchResult,https://www.google.com/,"crawler Partial keyword Crawler Secondary keyword",codeyiizen.com/dev/cloudcrawler/admin/login,71,No,US
GoogleSearchResult,https://www.google.com/,"crawler Partial keyword Crawler Secondary keyword",codeyiizen.com/dev/cloudcrawler/admin/login,25,No,US
GoogleSearchResult,https://www.google.com/,"crawler partial keyword Second Crawler Secondary keyword",codeyiizen.com/dev/cloudcrawler/admin/login,101,No,US
GoogleSearchResult,https://www.google.com/,"crawler Partial keyword Crawler Secondary keyword",codeyiizen.com/dev/cloudcrawler/admin/login,12,No,US
GoogleSearchResult,https://www.google.com/,"crawler Partial keyword Crawler Secondary keyword",codeyiizen.com/dev/cloudcrawler/admin/login,11,No,US
GoogleSearchResult,https://www.google.com/,"crawler partial keyword Second Crawler Secondary keyword",codeyiizen.com/dev/cloudcrawler/admin/login,17,No,US
GoogleSearchResult,https://www.google.com/,"crawler partial keyword Second Crawler Secondary keyword",codeyiizen.com/dev/cloudcrawler/admin/login,43,No,US
GoogleSearchResult,https://www.google.com/,"crawler Partial keyword Crawler Secondary keyword",codeyiizen.com/dev/cloudcrawler/admin/login,23,No,US
GoogleSearchResult,https://www.google.com/,"crawler Partial keyword Crawler Secondary keyword",codeyiizen.com/dev/cloudcrawler/admin/login,18,No,US
GoogleSearchResult,https://www.google.com/,"crawler partial keyword Second Crawler Secondary keyword",codeyiizen.com/dev/cloudcrawler/admin/login,35,No,US
