page_type,url,options.query,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,75,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,116,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,86,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,19,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,39,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,87,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,34,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,95,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,33,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,110,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,16,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,97,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,117,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,21,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,100,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,58,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,59,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,56,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,39,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,30,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,74,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,19,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,92,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,79,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,40,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,56,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,80,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,104,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,111,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,86,Yes,US
