page_type,url,options.query,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,27,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,94,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,85,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,15,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,25,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,42,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,83,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,78,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,109,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,99,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,107,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,15,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,72,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,35,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,78,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,66,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,84,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,39,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,48,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,63,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword Second",codeyiizen.com/dev/cloudcrawler/admin/login,18,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,66,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,107,Yes,US
GoogleSearchResult,https://www.google.com/,"Crawler Exact keyword",codeyiizen.com/dev/cloudcrawler/admin/login,27,Yes,US
