page_type,url,options.query,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Cloud Exact keyword One",cas.com.bd,112,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact keyword Three",cas.com.bd,109,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact keyword Two",cas.com.bd,114,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact keyword Three",cas.com.bd,22,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact keyword One",cas.com.bd,30,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact keyword Three",cas.com.bd,69,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact keyword Three",cas.com.bd,64,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact keyword One",cas.com.bd,110,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Brand keyword Cas Three Cloud Exact keyword Two",cas.com.bd,19,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Brand keyword Cas Two Cloud Exact keyword Three",cas.com.bd,51,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Brand keyword Cas One Cloud Exact keyword One",cas.com.bd,61,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Brand keyword Cas One Cloud Exact keyword Two",cas.com.bd,44,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Brand keyword Cas One Cloud Exact keyword Two",cas.com.bd,105,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Brand keyword Cas Three Cloud Exact keyword Three",cas.com.bd,49,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Brand keyword Cas One Cloud Exact keyword Two",cas.com.bd,115,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Brand keyword Cas One Cloud Exact keyword One",cas.com.bd,22,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Secondary keyword Cas Three Cloud Exact keyword One",cas.com.bd,83,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Secondary keyword Cas One Cloud Exact keyword Two",cas.com.bd,75,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Secondary keyword Cas Three Cloud Exact keyword Four",cas.com.bd,49,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Secondary keyword Cas Three Cloud Exact keyword Three",cas.com.bd,18,Yes,IN
GoogleSearchResult,https://www.google.com/,"cloud Secondary keyword Cas Three Cloud Exact keyword Four",cas.com.bd,121,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Secondary keyword Cas One Cloud Exact keyword Three",cas.com.bd,39,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Secondary keyword Cas One Cloud Exact keyword One",cas.com.bd,135,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Secondary keyword Cas Three Cloud Exact keyword Two",cas.com.bd,34,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial keyword One Cloud Secondary keyword Cas Two",cas.com.bd,137,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial keyword Three Cloud Secondary keyword Cas Three",cas.com.bd,71,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial keyword One Cloud Secondary keyword Cas Two",cas.com.bd,44,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial keyword Two Cloud Secondary keyword Cas Two",cas.com.bd,22,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial keyword Three Cloud Secondary keyword Cas Three",cas.com.bd,84,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial keyword Three Cloud Secondary keyword Cas Two",cas.com.bd,121,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial keyword Four Cloud Secondary keyword Cas Three",cas.com.bd,40,No,
GoogleSearchResult,https://www.google.com/,"cloud Partial keyword Four Cloud Secondary keyword Cas One",cas.com.bd,10,No,
