page_type,url,options.query,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,35,Yes,Us
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,62,Yes,Us
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",Codeyiizen.com,79,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",Codeyiizen.com,69,Yes,CK
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,60,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",Codeyiizen.com,27,Yes,CK
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",Codeyiizen.com,12,Yes,CK
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",Codeyiizen.com,11,Yes,Us
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",Codeyiizen.com,92,Yes,Us
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",Codeyiizen.com,18,Yes,CK
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord First",Codeyiizen.com,20,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord First",Codeyiizen.com,83,Yes,Us
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord First",Codeyiizen.com,18,Yes,CK
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Second",Codeyiizen.com,40,Yes,CK
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Second",Codeyiizen.com,36,Yes,Us
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord First",Codeyiizen.com,83,Yes,Us
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Third",Codeyiizen.com,89,Yes,CK
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord First",Codeyiizen.com,83,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Third",Codeyiizen.com,40,Yes,Us
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord First",Codeyiizen.com,25,Yes,CK
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord First",Codeyiizen.com,91,No,Us
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord Third",Codeyiizen.com,78,No,Us
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord First",Codeyiizen.com,50,No,
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord Second",Codeyiizen.com,76,No,IN
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord First",Codeyiizen.com,97,No,Us
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord First",Codeyiizen.com,60,No,
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord Third",Codeyiizen.com,62,No,Us
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord First",Codeyiizen.com,89,No,Us
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord Third",Codeyiizen.com,77,No,
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord Third",Codeyiizen.com,98,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Second Test Secondary",Codeyiizen.com,46,No,Us
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Second Test Secondary",Codeyiizen.com,90,No,Us
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Third Test Secondary",Codeyiizen.com,51,No,
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord First Test Secondary",Codeyiizen.com,65,No,Us
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Third Test Secondary",Codeyiizen.com,71,No,
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Third Test Secondary",Codeyiizen.com,39,No,
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Second Test Secondary",Codeyiizen.com,78,No,Us
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Second Test Secondary",Codeyiizen.com,70,No,
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Second Test Secondary",Codeyiizen.com,53,No,
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Third Test Secondary",Codeyiizen.com,83,No,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord First Test Brand",Codeyiizen.com,97,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord First Test Brand",Codeyiizen.com,95,No,Us
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third Test Brand",Codeyiizen.com,60,No,Us
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Second Test Brand",Codeyiizen.com,42,No,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third Test Brand",Codeyiizen.com,35,No,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Second Test Brand",Codeyiizen.com,38,No,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third Test Brand",Codeyiizen.com,94,No,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third Test Brand",Codeyiizen.com,21,No,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Second Test Brand",Codeyiizen.com,69,No,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third Test Brand",Codeyiizen.com,93,No,
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,76,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,75,No,
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,28,No,
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,16,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,96,No,
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,94,No,
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,41,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,11,No,
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,11,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,22,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,79,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,97,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,49,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,34,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,20,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,16,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,36,No,
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,73,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,16,No,
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,48,No,
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,22,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,98,No,
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,46,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,35,No,
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,25,No,
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,44,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,21,No,
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,57,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,52,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,41,No,
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,95,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,39,No,
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,72,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,33,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,77,No,
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,79,No,
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,41,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,71,No,
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,73,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,36,No,
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,45,No,
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,54,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,56,No,
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,62,No,
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,60,No,
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,100,No,
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,34,No,
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,47,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,51,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,86,No,
