page_type,url,options.query,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",allinone.com,allinone.com,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",allinone.com,allinone.com,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",allinone.com,allinone.com,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",allinone.com,allinone.com,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",allinone.com,allinone.com,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",allinone.com,allinone.com,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",allinone.com,allinone.com,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",allinone.com,allinone.com,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",allinone.com,allinone.com,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",allinone.com,allinone.com,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",allinone.com,allinone.com,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",allinone.com,allinone.com,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",allinone.com,allinone.com,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",allinone.com,allinone.com,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",allinone.com,allinone.com,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",allinone.com,allinone.com,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",allinone.com,allinone.com,Yes,US
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",allinone.com,allinone.com,Yes,US
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",allinone.com,allinone.com,Yes,US
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",allinone.com,allinone.com,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Third",allinone.com,allinone.com,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Third",allinone.com,allinone.com,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second",allinone.com,allinone.com,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Third",allinone.com,allinone.com,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Third",allinone.com,allinone.com,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second",allinone.com,allinone.com,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second",allinone.com,allinone.com,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second",allinone.com,allinone.com,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second",allinone.com,allinone.com,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord First",allinone.com,allinone.com,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Third",allinone.com,allinone.com,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Third",allinone.com,allinone.com,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord First",allinone.com,allinone.com,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second",allinone.com,allinone.com,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Third",allinone.com,allinone.com,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Third",allinone.com,allinone.com,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second",allinone.com,allinone.com,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second",allinone.com,allinone.com,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord First",allinone.com,allinone.com,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord First",allinone.com,allinone.com,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord First",allinone.com,allinone.com,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Third",allinone.com,allinone.com,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Third",allinone.com,allinone.com,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second",allinone.com,allinone.com,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord First",allinone.com,allinone.com,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second",allinone.com,allinone.com,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second",allinone.com,allinone.com,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord First",allinone.com,allinone.com,Yes,US
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Third",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Third",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Third",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Third",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord First",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord First",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord Second",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/," Cloud Exact KeyWord First",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord First ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord First ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Second ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Second ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord First ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord First ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Second ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Second ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord First ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Second ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Second ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord First ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Second ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord First ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Second ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Second ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord First ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord First ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Second ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord First ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third ",allinone.com,allinone.com,Yes,
GoogleSearchResult,https://www.google.com/,"cloud Exact KeyWord Second",cas.com.bd,cas.com.bd,No,
GoogleSearchResult,https://www.google.com/,"cloud Exact KeyWord Second",cas.com.bd,cas.com.bd,No,
GoogleSearchResult,https://www.google.com/,"cloud Exact KeyWord First",cas.com.bd,cas.com.bd,No,
