page_type,url,options.query,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,65,Yes,CK
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",Codeyiizen.com,94,Yes,CK
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,10,Yes,Us
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",Codeyiizen.com,15,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",Codeyiizen.com,17,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,15,Yes,CK
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",Codeyiizen.com,55,Yes,Us
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,41,Yes,Us
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",Codeyiizen.com,68,Yes,CK
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",Codeyiizen.com,85,Yes,Us
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Second",Codeyiizen.com,18,Yes,Us
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Third",Codeyiizen.com,60,Yes,CK
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Third",Codeyiizen.com,69,Yes,CK
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Second",Codeyiizen.com,53,Yes,CK
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord First",Codeyiizen.com,59,Yes,Us
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Third",Codeyiizen.com,100,Yes,Us
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord First",Codeyiizen.com,89,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Second",Codeyiizen.com,25,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Third",Codeyiizen.com,10,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Second",Codeyiizen.com,97,Yes,CK
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord Second",Codeyiizen.com,69,No,Us
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord First",Codeyiizen.com,70,No,Us
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord First",Codeyiizen.com,60,No,CK
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord Second",Codeyiizen.com,65,No,IN
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord Second",Codeyiizen.com,51,No,CK
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord Third",Codeyiizen.com,69,No,CK
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord First",Codeyiizen.com,100,No,CK
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord Second",Codeyiizen.com,19,No,CK
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord Second",Codeyiizen.com,46,No,IN
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord First",Codeyiizen.com,34,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord First Test Secondary",Codeyiizen.com,47,No,Us
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord First Test Secondary",Codeyiizen.com,91,No,CK
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Second Test Secondary",Codeyiizen.com,75,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord First Test Secondary",Codeyiizen.com,67,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord First Test Secondary",Codeyiizen.com,91,No,Us
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Second Test Secondary",Codeyiizen.com,48,No,Us
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Third Test Secondary",Codeyiizen.com,82,No,Us
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Third Test Secondary",Codeyiizen.com,87,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Third Test Secondary",Codeyiizen.com,85,No,Us
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Third Test Secondary",Codeyiizen.com,53,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third Test Brand",Codeyiizen.com,73,No,Us
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord First Test Brand",Codeyiizen.com,12,No,Us
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord First Test Brand",Codeyiizen.com,51,No,CK
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord First Test Brand",Codeyiizen.com,13,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third Test Brand",Codeyiizen.com,50,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord First Test Brand",Codeyiizen.com,52,No,CK
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Second Test Brand",Codeyiizen.com,65,No,Us
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Second Test Brand",Codeyiizen.com,94,No,Us
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third Test Brand",Codeyiizen.com,93,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Second Test Brand",Codeyiizen.com,56,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,53,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,80,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,36,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,71,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,96,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,83,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,72,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,24,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,13,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,15,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,16,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,28,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,80,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,20,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,45,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,44,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,94,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,100,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,68,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,83,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,99,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,52,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,39,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,69,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,45,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,75,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,16,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,90,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,64,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,46,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,25,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,30,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,61,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,32,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,71,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,91,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,96,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,40,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,90,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,98,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,19,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,31,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,87,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,16,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,89,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,57,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,85,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,81,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,39,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,57,No,Us
