page_type,url,options.query,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,30,Yes,Us
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",Codeyiizen.com,84,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,78,Yes,CK
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",Codeyiizen.com,36,Yes,CK
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,79,Yes,CK
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",Codeyiizen.com,76,Yes,CK
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,80,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",Codeyiizen.com,73,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,62,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,100,Yes,CK
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Second",Codeyiizen.com,88,Yes,Us
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Third",Codeyiizen.com,44,Yes,Us
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Third",Codeyiizen.com,91,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord First",Codeyiizen.com,98,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord First",Codeyiizen.com,98,Yes,CK
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord First",Codeyiizen.com,74,Yes,Us
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Second",Codeyiizen.com,82,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Third",Codeyiizen.com,17,Yes,CK
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Second",Codeyiizen.com,79,Yes,Us
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord First",Codeyiizen.com,76,Yes,CK
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord First",Codeyiizen.com,75,No,Us
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord Third",Codeyiizen.com,71,No,Us
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord First",Codeyiizen.com,94,No,CK
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord Third",Codeyiizen.com,15,No,IN
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord First",Codeyiizen.com,10,No,IN
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord Third",Codeyiizen.com,22,No,CK
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord Third",Codeyiizen.com,29,No,IN
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord First",Codeyiizen.com,100,No,CK
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord Second",Codeyiizen.com,10,No,IN
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord Third",Codeyiizen.com,23,No,Us
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord First Test Secondary",Codeyiizen.com,76,No,Us
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord First Test Secondary",Codeyiizen.com,92,No,CK
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Third Test Secondary",Codeyiizen.com,78,No,Us
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord First Test Secondary",Codeyiizen.com,47,No,CK
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Second Test Secondary",Codeyiizen.com,33,No,CK
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Second Test Secondary",Codeyiizen.com,91,No,Us
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Third Test Secondary",Codeyiizen.com,95,No,CK
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Third Test Secondary",Codeyiizen.com,18,No,CK
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Third Test Secondary",Codeyiizen.com,29,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord First Test Secondary",Codeyiizen.com,36,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord First Test Brand",Codeyiizen.com,97,No,CK
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord First Test Brand",Codeyiizen.com,48,No,CK
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Second Test Brand",Codeyiizen.com,15,No,Us
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Second Test Brand",Codeyiizen.com,60,No,Us
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord First Test Brand",Codeyiizen.com,86,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third Test Brand",Codeyiizen.com,93,No,CK
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Second Test Brand",Codeyiizen.com,63,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third Test Brand",Codeyiizen.com,42,No,CK
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord First Test Brand",Codeyiizen.com,17,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord First Test Brand",Codeyiizen.com,70,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,73,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,48,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,76,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,87,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,66,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,58,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,57,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,39,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,29,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,50,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,88,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,96,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,25,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,46,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,77,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,19,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,25,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,19,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,84,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,36,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,55,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,50,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,83,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,36,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,94,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,80,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,84,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,100,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,36,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,78,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,34,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,40,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,30,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,48,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,72,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,51,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,87,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,48,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,36,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,46,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,36,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,18,No,CK
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,14,No,IN
