page_type,url,options.query,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,79,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",Codeyiizen.com,71,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",Codeyiizen.com,77,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",Codeyiizen.com,10,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,58,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,26,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,39,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",Codeyiizen.com,42,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,14,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",Codeyiizen.com,66,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord First",Codeyiizen.com,24,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Second",Codeyiizen.com,76,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Second",Codeyiizen.com,29,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord First",Codeyiizen.com,100,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Third",Codeyiizen.com,47,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Second",Codeyiizen.com,62,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord First",Codeyiizen.com,89,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Second",Codeyiizen.com,77,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Third",Codeyiizen.com,94,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord First",Codeyiizen.com,25,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord Third",Codeyiizen.com,64,No,IN
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord Third",Codeyiizen.com,74,No,IN
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord Second",Codeyiizen.com,15,No,IN
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord Third",Codeyiizen.com,42,No,IN
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord First",Codeyiizen.com,13,No,IN
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord Third",Codeyiizen.com,32,No,IN
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord Third",Codeyiizen.com,13,No,IN
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord Second",Codeyiizen.com,81,No,IN
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord Third",Codeyiizen.com,18,No,IN
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord Third",Codeyiizen.com,27,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord First Test Secondary",Codeyiizen.com,36,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord First Test Secondary",Codeyiizen.com,87,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord First Test Secondary",Codeyiizen.com,60,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord First Test Secondary",Codeyiizen.com,84,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord First Test Secondary",Codeyiizen.com,61,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord First Test Secondary",Codeyiizen.com,12,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Second Test Secondary",Codeyiizen.com,47,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Second Test Secondary",Codeyiizen.com,91,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Third Test Secondary",Codeyiizen.com,42,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Third Test Secondary",Codeyiizen.com,34,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Second Test Brand",Codeyiizen.com,25,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Second Test Brand",Codeyiizen.com,30,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Second Test Brand",Codeyiizen.com,19,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Second Test Brand",Codeyiizen.com,96,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord First Test Brand",Codeyiizen.com,88,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord First Test Brand",Codeyiizen.com,63,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord First Test Brand",Codeyiizen.com,73,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord First Test Brand",Codeyiizen.com,95,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Second Test Brand",Codeyiizen.com,34,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Second Test Brand",Codeyiizen.com,90,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,57,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,52,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,20,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,67,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,70,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,19,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,70,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,34,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,26,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,12,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,55,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,30,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,60,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,85,No,Us
