page_type,url,options.query,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,99,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,37,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",Codeyiizen.com,47,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",Codeyiizen.com,33,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Third",Codeyiizen.com,31,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",Codeyiizen.com,66,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",Codeyiizen.com,37,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,96,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord First",Codeyiizen.com,87,Yes,IN
GoogleSearchResult,https://www.google.com/,"Cloud Exact KeyWord Second",Codeyiizen.com,15,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord First",Codeyiizen.com,32,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord First",Codeyiizen.com,34,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Third",Codeyiizen.com,90,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Third",Codeyiizen.com,21,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Third",Codeyiizen.com,27,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Second",Codeyiizen.com,75,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Second",Codeyiizen.com,15,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Third",Codeyiizen.com,52,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Third",Codeyiizen.com,85,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Brand Cloud Exact KeyWord Second",Codeyiizen.com,68,Yes,IN
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord First",Codeyiizen.com,25,No,IN
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord Third",Codeyiizen.com,15,No,IN
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord First",Codeyiizen.com,72,No,IN
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord First",Codeyiizen.com,94,No,IN
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord First",Codeyiizen.com,85,No,IN
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord Third",Codeyiizen.com,59,No,IN
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord Third",Codeyiizen.com,34,No,IN
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord Third",Codeyiizen.com,90,No,IN
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord Third",Codeyiizen.com,49,No,IN
GoogleSearchResult,https://www.google.com/,"Test Secondary Cloud Exact KeyWord Third",Codeyiizen.com,66,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Third Test Secondary",Codeyiizen.com,92,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord First Test Secondary",Codeyiizen.com,23,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord First Test Secondary",Codeyiizen.com,60,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Third Test Secondary",Codeyiizen.com,76,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord First Test Secondary",Codeyiizen.com,49,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord First Test Secondary",Codeyiizen.com,61,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Second Test Secondary",Codeyiizen.com,31,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Second Test Secondary",Codeyiizen.com,61,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord First Test Secondary",Codeyiizen.com,27,No,IN
GoogleSearchResult,https://www.google.com/,"Cloud Partial KeyWord Second Test Secondary",Codeyiizen.com,77,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Second Test Brand",Codeyiizen.com,37,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third Test Brand",Codeyiizen.com,17,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Second Test Brand",Codeyiizen.com,49,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord First Test Brand",Codeyiizen.com,24,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord First Test Brand",Codeyiizen.com,27,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord First Test Brand",Codeyiizen.com,70,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord First Test Brand",Codeyiizen.com,23,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Second Test Brand",Codeyiizen.com,54,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord First Test Brand",Codeyiizen.com,81,No,IN
GoogleSearchResult,https://www.google.com/,"cloud Partial KeyWord Third Test Brand",Codeyiizen.com,44,No,IN
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,82,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,65,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,80,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,73,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,19,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,58,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,36,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,39,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,45,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,68,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,53,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,45,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,95,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,92,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,35,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,53,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,49,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,19,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,88,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,75,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,88,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,61,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,45,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,74,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,56,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,37,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,51,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,26,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,18,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,38,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,10,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,38,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,76,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,90,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,27,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,79,No,Us
GoogleSearchResult,https://www.google.com/,,Codeyiizen.com,13,No,Us
