page_type,url,options.result_url,options.resultQury,job_title,weight,options.landing_min_time,options.landing_click
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,24,Yes
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,34,Yes
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Test Brand Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,44,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Test Brand Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,76,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Test Brand Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,40,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Test Brand Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,87,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Test Brand Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,77,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Test Secondary Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,56,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Test Secondary Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,19,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Test Secondary Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,22,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Test Secondary Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,53,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Test Secondary Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,84,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,57,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,53,No
