page_type,url,options.result_url,options.resultQury,job_title,weight,options.landing_min_time,options.landing_click
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,79,Yes
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,78,Yes
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Test Brand Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,35,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Test Brand Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,21,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Test Brand Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,82,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Test Brand Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,27,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Test Brand Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,37,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Test Secondary Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,84,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Test Secondary Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,29,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Test Secondary Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,95,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Test Secondary Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,55,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Test Secondary Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,55,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,21,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,88,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Test Brand",Test,20,62,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Test Brand",Test,20,94,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Test Brand",Test,20,60,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Test Brand",Test,20,41,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Test Brand",Test,20,22,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Test Brand",Test,20,28,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,41,Yes
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,31,Yes
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Test Brand Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,16,Yes
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Test Brand Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,23,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Test Brand Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,47,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Test Brand Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,12,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Test Brand Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,39,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Test Secondary Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,20,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Test Secondary Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,28,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Test Secondary Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,16,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Test Secondary Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,47,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Test Secondary Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,24,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,18,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,20,37,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Test Brand",Test,20,33,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Test Brand",Test,20,25,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Test Brand",Test,20,21,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Test Brand",Test,20,33,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Test Brand",Test,20,18,No
GoogleSearchResult,https://www.google.com/,cas.com.bd,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Test Brand",Test,20,25,No
GoogleSearchResult,https://www.google.com/,allinone.com,"Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,25,36,No
GoogleSearchResult,https://www.google.com/,allinone.com,"Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,25,22,No
GoogleSearchResult,https://www.google.com/,allinone.com,"Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,25,50,No
GoogleSearchResult,https://www.google.com/,allinone.com,"Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,25,46,No
GoogleSearchResult,https://www.google.com/,allinone.com,"Test Brand Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,25,39,No
GoogleSearchResult,https://www.google.com/,allinone.com,"Test Brand Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,25,47,No
GoogleSearchResult,https://www.google.com/,allinone.com,"Test Brand Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,25,17,No
GoogleSearchResult,https://www.google.com/,allinone.com,"Test Secondary Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,25,29,No
GoogleSearchResult,https://www.google.com/,allinone.com,"Test Secondary Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,25,21,No
GoogleSearchResult,https://www.google.com/,allinone.com,"Test Secondary Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,25,25,No
GoogleSearchResult,https://www.google.com/,allinone.com,"Test Secondary Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,25,39,No
GoogleSearchResult,https://www.google.com/,allinone.com,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,25,11,No
GoogleSearchResult,https://www.google.com/,allinone.com,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,25,28,No
GoogleSearchResult,https://www.google.com/,allinone.com,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,25,36,No
GoogleSearchResult,https://www.google.com/,allinone.com,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum is simply dummy text of the printing and typesetting industry",Test,25,22,No
GoogleSearchResult,https://www.google.com/,allinone.com,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Test Brand",Test,25,29,No
GoogleSearchResult,https://www.google.com/,allinone.com,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Test Brand",Test,25,20,No
GoogleSearchResult,https://www.google.com/,allinone.com,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Test Brand",Test,25,38,No
GoogleSearchResult,https://www.google.com/,allinone.com,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Test Brand",Test,25,38,No
GoogleSearchResult,https://www.google.com/,allinone.com,,Test,25,15,No
GoogleSearchResult,https://www.google.com/,allinone.com,,Test,25,14,No
GoogleSearchResult,https://www.google.com/,allinone.com,,Test,25,46,No
GoogleSearchResult,https://www.google.com/,allinone.com,,Test,25,43,No
GoogleSearchResult,https://www.google.com/,allinone.com,,Test,25,20,No
GoogleSearchResult,https://www.google.com/,allinone.com,,Test,25,36,No
