page_type,url,options.result_url,options.resultQuery,job_title,weight,options.landing_min_time,options.landing_click
GoogleSearchResult,https://www.google.com/,allinone.com,"Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.","Android Developer",50,38,Yes
GoogleSearchResult,https://www.google.com/,allinone.com,"software Developer Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry","Android Developer",50,83,Yes
GoogleSearchResult,https://www.google.com/,allinone.com,"software Developer Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.","Android Developer",50,63,No
GoogleSearchResult,https://www.google.com/,allinone.com,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.","Android Developer",50,44,No
GoogleSearchResult,https://www.google.com/,allinone.com,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Software Developer","Android Developer",50,86,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,67,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,12,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,49,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,19,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,93,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,16,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,64,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,47,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,66,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,57,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,87,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,10,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,64,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,12,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,83,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,85,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,24,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,84,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,35,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,40,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,30,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,35,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,61,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,15,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,45,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,41,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,94,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,31,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,23,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,76,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,33,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,81,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,66,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,26,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,94,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,22,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,96,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,51,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,64,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,80,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,11,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,63,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,44,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,92,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,95,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,"Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.","Android Developer",50,88,Yes
GoogleSearchResult,https://www.google.com/,pluckit.co.in,"Test Brand Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.","Android Developer",50,88,Yes
GoogleSearchResult,https://www.google.com/,pluckit.co.in,"Software Developer Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry","Android Developer",50,76,Yes
GoogleSearchResult,https://www.google.com/,pluckit.co.in,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry","Android Developer",50,119,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Ui Developer","Android Developer",50,66,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,22,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,45,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,42,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,44,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,42,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,12,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,20,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,101,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,27,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,62,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,42,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,69,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,22,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,80,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,97,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,107,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,106,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,55,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,73,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,65,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,40,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,84,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,33,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,34,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,57,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,12,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,21,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,91,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,25,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,87,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,97,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,59,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,18,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,16,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,62,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,116,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,93,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,98,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,20,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,19,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,72,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,70,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,19,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,118,No
GoogleSearchResult,https://www.google.com/,pluckit.co.in,,"Android Developer",50,33,No
GoogleSearchResult,https://www.google.com/,Codeyiizen.com,"Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry","Android Developer",325,37,Yes
GoogleSearchResult,https://www.google.com/,Codeyiizen.com,"Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry","Android Developer",325,55,Yes
GoogleSearchResult,https://www.google.com/,Codeyiizen.com,"Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.","Android Developer",325,48,Yes
GoogleSearchResult,https://www.google.com/,Codeyiizen.com,"Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry","Android Developer",325,48,Yes
GoogleSearchResult,https://www.google.com/,Codeyiizen.com,"Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.","Android Developer",325,26,Yes
GoogleSearchResult,https://www.google.com/,Codeyiizen.com,"Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.","Android Developer",325,45,Yes
GoogleSearchResult,https://www.google.com/,Codeyiizen.com,"Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.","Android Developer",325,75,Yes
GoogleSearchResult,https://www.google.com/,Codeyiizen.com,"Ui Developer Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry","Android Developer",325,78,Yes
GoogleSearchResult,https://www.google.com/,Codeyiizen.com,"Ui Developer Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.","Android Developer",325,69,Yes
GoogleSearchResult,https://www.google.com/,Codeyiizen.com,"Android Developer Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry","Android Developer",325,41,Yes
GoogleSearchResult,https://www.google.com/,Codeyiizen.com,"Android Developer Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.","Android Developer",325,82,Yes
GoogleSearchResult,https://www.google.com/,Codeyiizen.com,"Android Developer Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.","Android Developer",325,63,Yes
GoogleSearchResult,https://www.google.com/,Codeyiizen.com,"Ui Developer Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.","Android Developer",325,76,Yes
GoogleSearchResult,https://www.google.com/,Codeyiizen.com,"Software Developer Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.","Android Developer",325,38,Yes
GoogleSearchResult,https://www.google.com/,Codeyiizen.com,"Software Developer Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.","Android Developer",325,86,Yes
