page_type,url,options.result_url,options.resultQury,job_title,weight,options.landing_min_time,options.landing_click
GoogleSearchResult,https://www.google.com/,cas.com.bd,2,Test,20,1,1
GoogleSearchResult,https://www.google.com/,cas.com.bd,2,Test,20,1,1
GoogleSearchResult,https://www.google.com/,cas.com.bd,2,Test,20,1,1
GoogleSearchResult,https://www.google.com/,cas.com.bd,2,Test,20,1,1
GoogleSearchResult,https://www.google.com/,cas.com.bd,2,Test,20,1,1
GoogleSearchResult,https://www.google.com/,cas.com.bd,2,Test,20,1,1
GoogleSearchResult,https://www.google.com/,cas.com.bd,2,Test,20,1,1
GoogleSearchResult,https://www.google.com/,cas.com.bd,2,Test,20,1,1
GoogleSearchResult,https://www.google.com/,cas.com.bd,2,Test,20,1,1
GoogleSearchResult,https://www.google.com/,cas.com.bd,2,Test,20,1,1
GoogleSearchResult,https://www.google.com/,cas.com.bd,2,Test,20,1,1
GoogleSearchResult,https://www.google.com/,cas.com.bd,2,Test,20,1,1
GoogleSearchResult,https://www.google.com/,cas.com.bd,2,Test,20,1,1
GoogleSearchResult,https://www.google.com/,cas.com.bd,2,Test,20,1,1
GoogleSearchResult,https://www.google.com/,cas.com.bd,2,Test,20,1,1
GoogleSearchResult,https://www.google.com/,cas.com.bd,2,Test,20,1,1
GoogleSearchResult,https://www.google.com/,cas.com.bd,2,Test,20,1,1
GoogleSearchResult,https://www.google.com/,cas.com.bd,2,Test,20,1,1
GoogleSearchResult,https://www.google.com/,cas.com.bd,2,Test,20,1,1
GoogleSearchResult,https://www.google.com/,cas.com.bd,2,Test,20,1,1
GoogleSearchResult,https://www.google.com/,allinone.com,3.75,Test,25,1,1
GoogleSearchResult,https://www.google.com/,allinone.com,3.75,Test,25,1,1
GoogleSearchResult,https://www.google.com/,allinone.com,3.75,Test,25,1,1
GoogleSearchResult,https://www.google.com/,allinone.com,3.75,Test,25,1,1
GoogleSearchResult,https://www.google.com/,allinone.com,3.75,Test,25,1,1
GoogleSearchResult,https://www.google.com/,allinone.com,3.75,Test,25,1,1
GoogleSearchResult,https://www.google.com/,allinone.com,3.75,Test,25,1,1
GoogleSearchResult,https://www.google.com/,allinone.com,3.75,Test,25,1,1
GoogleSearchResult,https://www.google.com/,allinone.com,3.75,Test,25,1,1
GoogleSearchResult,https://www.google.com/,allinone.com,3.75,Test,25,1,1
GoogleSearchResult,https://www.google.com/,allinone.com,3.75,Test,25,1,1
GoogleSearchResult,https://www.google.com/,allinone.com,3.75,Test,25,1,1
GoogleSearchResult,https://www.google.com/,allinone.com,3.75,Test,25,1,1
GoogleSearchResult,https://www.google.com/,allinone.com,3.75,Test,25,1,1
GoogleSearchResult,https://www.google.com/,allinone.com,3.75,Test,25,1,1
GoogleSearchResult,https://www.google.com/,allinone.com,3.75,Test,25,1,1
GoogleSearchResult,https://www.google.com/,allinone.com,3.75,Test,25,1,1
GoogleSearchResult,https://www.google.com/,allinone.com,3.75,Test,25,1,1
GoogleSearchResult,https://www.google.com/,allinone.com,3.75,Test,25,1,1
GoogleSearchResult,https://www.google.com/,allinone.com,3.75,Test,25,1,1
GoogleSearchResult,https://www.google.com/,allinone.com,3.75,Test,25,1,1
GoogleSearchResult,https://www.google.com/,allinone.com,3.75,Test,25,1,1
GoogleSearchResult,https://www.google.com/,allinone.com,3.75,Test,25,1,1
GoogleSearchResult,https://www.google.com/,allinone.com,3.75,Test,25,1,1
GoogleSearchResult,https://www.google.com/,allinone.com,3.75,Test,25,1,1
