page_type,url,options.result_url,options.resultQuery,job_title,weight,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,allinone.com,"Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry","Android Developer",50,12,Yes,CA
GoogleSearchResult,https://www.google.com/,allinone.com,"test Brand Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.","Android Developer",50,84,Yes,
GoogleSearchResult,https://www.google.com/,allinone.com,"software Developer Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry","Android Developer",50,36,No,
GoogleSearchResult,https://www.google.com/,allinone.com,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.","Android Developer",50,87,No,
GoogleSearchResult,https://www.google.com/,allinone.com,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Android Developer","Android Developer",50,87,No,
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,29,No,
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,78,No,
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,68,No,
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,28,No,
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,38,No,
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,57,No,
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,87,No,
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,42,No,
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,73,No,
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,17,No,
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,72,No,
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,89,No,
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,82,No,
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,89,No,
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,92,No,
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,14,No,
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,60,No,
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,95,No,
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,65,No,
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,65,No,
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,56,No,
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,72,No,
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,88,No,
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,99,No,
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,23,No,
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,65,No,
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,66,No,
