page_type,url,options.resultQuery,options.result_url,options.landing_min_time,options.landing_click,country
GoogleSearchResult,https://www.google.com/,"Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,74,Yes,CA
GoogleSearchResult,https://www.google.com/,"test Brand Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,13,Yes,CA
GoogleSearchResult,https://www.google.com/,"test Secondary Lorem-3 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,39,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.",allinone.com,33,No,
GoogleSearchResult,https://www.google.com/,"lorem Ipsum is simply dummy text of the printing and typesetting industry. Software Developer",allinone.com,73,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,45,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,84,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,84,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,16,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,29,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,33,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,43,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,21,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,96,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,29,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,42,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,77,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,48,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,77,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,40,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,91,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,78,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,65,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,84,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,91,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,16,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,17,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,51,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,50,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,12,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,63,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,32,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,36,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,41,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,42,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,82,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,93,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,78,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,68,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,83,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,64,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,90,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,52,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,78,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,77,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,35,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,33,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,36,No,
GoogleSearchResult,https://www.google.com/,,allinone.com,41,No,
