page_type,url,options.result_url,options.resultQuery,job_title,weight,options.landing_min_time,options.landing_click
GoogleSearchResult,https://www.google.com/,allinone.com,"Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.","Android Developer",50,30,Yes
GoogleSearchResult,https://www.google.com/,allinone.com,"Ui Developer Lorem-1 Ipsum is simply dummy text of the printing and typesetting industry","Android Developer",50,84,Yes
GoogleSearchResult,https://www.google.com/,allinone.com,"Ui Developer Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.","Android Developer",50,78,No
GoogleSearchResult,https://www.google.com/,allinone.com,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem-2 Ipsum is simply dummy text of the printing and typesetting industry.","Android Developer",50,36,No
GoogleSearchResult,https://www.google.com/,allinone.com,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Android Developer","Android Developer",50,79,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,76,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,80,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,73,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,62,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,100,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,88,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,44,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,91,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,98,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,98,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,74,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,82,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,17,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,79,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,76,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,75,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,71,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,94,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,15,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,10,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,22,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,29,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,100,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,10,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,23,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,76,No
GoogleSearchResult,https://www.google.com/,allinone.com,,"Android Developer",50,92,No
